22:23:35 cards=35478 train=31946 heldout=3532 distinct_struct=34288 struct=tree device=cuda seed=0 text_model=sentence-transformers/all-MiniLM-L6-v2
22:23:37 params=25828219 steps/epoch=125 total_steps=5000
22:23:47 text anchor computed from the pretrained encoder: (35478, 384)
22:24:21 epoch=1/40 train_loss=5.6436 (infonce=4.1488 distill=0.0062 aux=1.4326) train_r@1=0.225 train_r@10=0.615 held_loss=3.6933 held_r@1=0.234 held_r@10=0.636 34s
22:24:55 epoch=2/40 train_loss=1.4699 (infonce=0.8553 distill=0.0045 aux=0.5696) train_r@1=0.575 train_r@10=0.921 held_loss=1.8335 held_r@1=0.587 held_r@10=0.921 34s
22:25:29 epoch=3/40 train_loss=0.8334 (infonce=0.3874 distill=0.0040 aux=0.4065) train_r@1=0.671 train_r@10=0.964 held_loss=1.3723 held_r@1=0.685 held_r@10=0.956 33s
22:26:03 epoch=4/40 train_loss=0.6214 (infonce=0.2599 distill=0.0035 aux=0.3267) train_r@1=0.740 train_r@10=0.974 held_loss=1.1063 held_r@1=0.759 held_r@10=0.973 33s
22:26:37 epoch=5/40 train_loss=0.5088 (infonce=0.1957 distill=0.0032 aux=0.2812) train_r@1=0.789 train_r@10=0.983 held_loss=0.9620 held_r@1=0.794 held_r@10=0.978 34s
22:27:11 epoch=6/40 train_loss=0.4409 (infonce=0.1566 distill=0.0029 aux=0.2552) train_r@1=0.824 train_r@10=0.989 held_loss=0.8529 held_r@1=0.821 held_r@10=0.981 34s
22:27:45 epoch=7/40 train_loss=0.3966 (infonce=0.1326 distill=0.0027 aux=0.2375) train_r@1=0.841 train_r@10=0.991 held_loss=0.7837 held_r@1=0.838 held_r@10=0.983 34s
22:28:19 epoch=8/40 train_loss=0.3666 (infonce=0.1151 distill=0.0025 aux=0.2267) train_r@1=0.855 train_r@10=0.991 held_loss=0.7118 held_r@1=0.853 held_r@10=0.984 34s
22:28:53 epoch=9/40 train_loss=0.3452 (infonce=0.1033 distill=0.0023 aux=0.2187) train_r@1=0.878 train_r@10=0.991 held_loss=0.6423 held_r@1=0.867 held_r@10=0.985 34s
22:29:27 epoch=10/40 train_loss=0.3269 (infonce=0.0939 distill=0.0022 aux=0.2113) train_r@1=0.884 train_r@10=0.993 held_loss=0.6446 held_r@1=0.872 held_r@10=0.986 34s
22:30:01 epoch=11/40 train_loss=0.3102 (infonce=0.0842 distill=0.0020 aux=0.2056) train_r@1=0.890 train_r@10=0.994 held_loss=0.6001 held_r@1=0.884 held_r@10=0.986 34s
