00:00:08 cards=35478 train=31946 heldout=3532 distinct_struct=34288 struct=script device=cuda seed=0 text_model=sentence-transformers/all-MiniLM-L6-v2
00:00:10 params=22971387 steps/epoch=125 total_steps=5000
00:00:20 text anchor computed from the pretrained encoder: (35478, 384)
00:00:46 script anchor computed from the pretrained encoder: (35478, 384)
00:04:46 epoch=1/40 train_loss=5.3651 (infonce=3.9851 distill=0.0115 aux=1.2653) train_r@1=0.466 train_r@10=0.858 held_loss=2.5999 held_r@1=0.482 held_r@10=0.856 240s
00:07:41 epoch=2/40 train_loss=0.7786 (infonce=0.3694 distill=0.0072 aux=0.3372) train_r@1=0.861 train_r@10=0.982 held_loss=0.8690 held_r@1=0.870 held_r@10=0.980 175s
00:10:35 epoch=3/40 train_loss=0.3997 (infonce=0.1405 distill=0.0054 aux=0.2052) train_r@1=0.913 train_r@10=0.989 held_loss=0.5940 held_r@1=0.917 held_r@10=0.985 174s
00:13:28 epoch=4/40 train_loss=0.3027 (infonce=0.0992 distill=0.0046 aux=0.1575) train_r@1=0.928 train_r@10=0.989 held_loss=0.4911 held_r@1=0.922 held_r@10=0.984 173s
00:16:23 epoch=5/40 train_loss=0.2508 (infonce=0.0772 distill=0.0041 aux=0.1328) train_r@1=0.941 train_r@10=0.992 held_loss=0.3973 held_r@1=0.939 held_r@10=0.986 174s
00:19:18 epoch=6/40 train_loss=0.2216 (infonce=0.0668 distill=0.0037 aux=0.1180) train_r@1=0.948 train_r@10=0.993 held_loss=0.3755 held_r@1=0.939 held_r@10=0.986 174s
00:22:13 epoch=7/40 train_loss=0.2005 (infonce=0.0584 distill=0.0034 aux=0.1082) train_r@1=0.947 train_r@10=0.995 held_loss=0.3723 held_r@1=0.937 held_r@10=0.987 175s
00:25:06 epoch=8/40 train_loss=0.1867 (infonce=0.0531 distill=0.0032 aux=0.1018) train_r@1=0.947 train_r@10=0.993 held_loss=0.3346 held_r@1=0.941 held_r@10=0.988 173s
00:28:00 epoch=9/40 train_loss=0.1789 (infonce=0.0511 distill=0.0030 aux=0.0977) train_r@1=0.949 train_r@10=0.994 held_loss=0.3369 held_r@1=0.943 held_r@10=0.988 173s
00:30:55 epoch=10/40 train_loss=0.1690 (infonce=0.0465 distill=0.0029 aux=0.0938) train_r@1=0.949 train_r@10=0.995 held_loss=0.3242 held_r@1=0.946 held_r@10=0.990 175s
00:33:49 epoch=11/40 train_loss=0.1607 (infonce=0.0419 distill=0.0027 aux=0.0914) train_r@1=0.956 train_r@10=0.994 held_loss=0.3010 held_r@1=0.946 held_r@10=0.988 174s
00:36:44 epoch=12/40 train_loss=0.1581 (infonce=0.0425 distill=0.0026 aux=0.0892) train_r@1=0.956 train_r@10=0.996 held_loss=0.2956 held_r@1=0.949 held_r@10=0.990 174s
00:39:39 epoch=13/40 train_loss=0.1531 (infonce=0.0400 distill=0.0025 aux=0.0877) train_r@1=0.961 train_r@10=0.996 held_loss=0.2904 held_r@1=0.950 held_r@10=0.989 174s
00:42:33 epoch=14/40 train_loss=0.1487 (infonce=0.0376 distill=0.0025 aux=0.0864) train_r@1=0.958 train_r@10=0.995 held_loss=0.2847 held_r@1=0.952 held_r@10=0.989 174s
00:45:27 epoch=15/40 train_loss=0.1455 (infonce=0.0367 distill=0.0024 aux=0.0849) train_r@1=0.956 train_r@10=0.995 held_loss=0.2854 held_r@1=0.954 held_r@10=0.988 174s
00:48:22 epoch=16/40 train_loss=0.1432 (infonce=0.0354 distill=0.0023 aux=0.0843) train_r@1=0.957 train_r@10=0.996 held_loss=0.2682 held_r@1=0.952 held_r@10=0.989 175s
