Kavaero, Mind-Bitten	192
Leyline Weaver	78
Ademi of the Silkchutes	67
Belion, the Parched	51
Detect Intrusion	49
Zora, Spider Fancier	35
The Terminus of Return	31
Darval, Whose Web Protects	31
Desecrex, Gift of Servitude	27
The Scouring Stormsoul	25
Kraza, the Swarm as One	20
Luis, Pompous Pillager	16
Cren, Undercity Dreamer	12
Fire-Brained Scheme	12
Spectral Restitching	11
Giantcraft Helm	11
Yera and Oski, Weaver and Guide	10
Surris, Spidersilk Innovator	9
Reality Fulcrum	9
Nia, Skysail Storyteller	8
Viggo, Enforcer of Ig's Crossing	8
Uharis, the Stormspinner	7
Makdee and Itla, Skysnarers	7
Fateweaver	7
Cam and Farrik, Havoc Duo	6
Wekhdu, Midnight Hunter	6
Scions of the Ur-Spider	4
Wrench, Speedway Saboteur	4
Skittering Kitten	3
Phenomena Recorder	2
Wonderweave Aerialist	2
Merata, Neuron Hacker	2
Temple Trap	1
Hide in Mundanity	1
Rizna, the Spider-Crowned	1
