consult	file	k	class	src	partner	p_before	p_after	dp	dlogit	dlogit_raw	flip	argmax_before	argmax_after
3	7c_W0Base_p1.jsonl	1	type	Dromoka Warrior	Soul Parry	0.248041	0.248041	0.000000	0.000000	0.000000	0	PASS	PASS
3	7c_W0Base_p1.jsonl	1	type	Dromoka Warrior	True Identity	0.248041	0.248041	0.000000	0.000000	0.000000	0	PASS	PASS
3	7c_W0Base_p1.jsonl	1	type	Dromoka Warrior	Angelsong	0.248041	0.248041	0.000000	0.000000	0.000000	0	PASS	PASS
3	7c_W0Base_p1.jsonl	1	type	Dromoka Warrior	Will of the All-Hunter	0.248041	0.248041	0.000000	0.000000	0.000000	0	PASS	PASS
3	7c_W0Base_p1.jsonl	1	type	Dromoka Warrior	Last Breath	0.248041	0.248041	0.000000	0.000000	0.000000	0	PASS	PASS
3	7c_W0Base_p1.jsonl	1	type	Dromoka Warrior	Curtain of Light	0.248041	0.248041	0.000000	0.000000	0.000000	0	PASS	PASS
3	7c_W0Base_p1.jsonl	1	type	Dromoka Warrior	Unlikely Alliance	0.248041	0.248041	0.000000	0.000000	0.000000	0	PASS	PASS
3	7c_W0Base_p1.jsonl	1	type	Dromoka Warrior	Phalanx Tactics	0.248041	0.248041	0.000000	0.000000	0.000000	0	PASS	PASS
3	7c_W0Base_p1.jsonl	1	self_mana	Dromoka Warrior	1	0.248041	0.252035	0.003993	0.021297	0.021523	0	PASS	PASS
3	7c_W0Base_p1.jsonl	2	type	Dromoka Warrior	Soul Parry	0.248041	0.248041	0.000000	0.000000	0.000000	0	PASS	PASS
3	7c_W0Base_p1.jsonl	2	type	Dromoka Warrior	True Identity	0.248041	0.248041	0.000000	0.000000	0.000000	0	PASS	PASS
3	7c_W0Base_p1.jsonl	2	type	Dromoka Warrior	Angelsong	0.248041	0.248041	0.000000	0.000000	0.000000	0	PASS	PASS
3	7c_W0Base_p1.jsonl	2	type	Dromoka Warrior	Will of the All-Hunter	0.248041	0.248041	0.000000	0.000000	0.000000	0	PASS	PASS
3	7c_W0Base_p1.jsonl	2	type	Dromoka Warrior	Last Breath	0.248041	0.248041	0.000000	0.000000	0.000000	0	PASS	PASS
3	7c_W0Base_p1.jsonl	2	type	Dromoka Warrior	Curtain of Light	0.248041	0.248041	0.000000	0.000000	0.000000	0	PASS	PASS
3	7c_W0Base_p1.jsonl	2	type	Dromoka Warrior	Unlikely Alliance	0.248041	0.248041	0.000000	0.000000	0.000000	0	PASS	PASS
3	7c_W0Base_p1.jsonl	2	type	Dromoka Warrior	Phalanx Tactics	0.248041	0.248041	0.000000	0.000000	0.000000	0	PASS	PASS
3	7c_W0Base_p1.jsonl	2	self_mana	Dromoka Warrior	2	0.248041	0.252035	0.003993	0.021297	0.021523	0	PASS	PASS
3	7c_W0Base_p1.jsonl	3	type	Dromoka Warrior	Soul Parry	0.248041	0.248041	0.000000	0.000000	0.000000	0	PASS	PASS
3	7c_W0Base_p1.jsonl	3	type	Dromoka Warrior	True Identity	0.248041	0.248041	0.000000	0.000000	0.000000	0	PASS	PASS
3	7c_W0Base_p1.jsonl	3	type	Dromoka Warrior	Angelsong	0.248041	0.248041	0.000000	0.000000	0.000000	0	PASS	PASS
3	7c_W0Base_p1.jsonl	3	type	Dromoka Warrior	Will of the All-Hunter	0.248041	0.248041	0.000000	0.000000	0.000000	0	PASS	PASS
3	7c_W0Base_p1.jsonl	3	type	Dromoka Warrior	Last Breath	0.248041	0.248041	0.000000	0.000000	0.000000	0	PASS	PASS
3	7c_W0Base_p1.jsonl	3	type	Dromoka Warrior	Curtain of Light	0.248041	0.248041	0.000000	0.000000	0.000000	0	PASS	PASS
3	7c_W0Base_p1.jsonl	3	type	Dromoka Warrior	Unlikely Alliance	0.248041	0.248041	0.000000	0.000000	0.000000	0	PASS	PASS
3	7c_W0Base_p1.jsonl	3	type	Dromoka Warrior	Phalanx Tactics	0.248041	0.248041	0.000000	0.000000	0.000000	0	PASS	PASS
3	7c_W0Base_p1.jsonl	3	self_mana	Dromoka Warrior	3	0.248041	0.252035	0.003993	0.021297	0.021523	0	PASS	PASS
5	7c_W0Base_p1.jsonl	1	type	Dromoka Warrior	Soul Parry	0.153503	0.153503	0.000000	0.000000	0.000000	0	PASS	PASS
5	7c_W0Base_p1.jsonl	1	type	Dromoka Warrior	True Identity	0.153503	0.153503	0.000000	0.000000	0.000000	0	PASS	PASS
5	7c_W0Base_p1.jsonl	1	type	Dromoka Warrior	Angelsong	0.153503	0.153503	0.000000	0.000000	0.000000	0	PASS	PASS
5	7c_W0Base_p1.jsonl	1	type	Dromoka Warrior	Will of the All-Hunter	0.153503	0.153503	0.000000	0.000000	0.000000	0	PASS	PASS
5	7c_W0Base_p1.jsonl	1	type	Dromoka Warrior	Last Breath	0.153503	0.153503	0.000000	0.000000	0.000000	0	PASS	PASS
5	7c_W0Base_p1.jsonl	1	type	Dromoka Warrior	Curtain of Light	0.153503	0.153503	0.000000	0.000000	0.000000	0	PASS	PASS
5	7c_W0Base_p1.jsonl	1	type	Dromoka Warrior	Unlikely Alliance	0.153503	0.153503	0.000000	0.000000	0.000000	0	PASS	PASS
5	7c_W0Base_p1.jsonl	1	type	Dromoka Warrior	Phalanx Tactics	0.153503	0.153503	0.000000	0.000000	0.000000	0	PASS	PASS
5	7c_W0Base_p1.jsonl	1	self_mana	Dromoka Warrior	1	0.153503	0.155517	0.002014	0.015418	0.015556	0	PASS	PASS
5	7c_W0Base_p1.jsonl	2	type	Dromoka Warrior	Soul Parry	0.153503	0.153503	0.000000	0.000000	0.000000	0	PASS	PASS
5	7c_W0Base_p1.jsonl	2	type	Dromoka Warrior	True Identity	0.153503	0.153503	0.000000	0.000000	0.000000	0	PASS	PASS
