consult	file	k	class	src	partner	p_before	p_after	dp	dlogit	dlogit_raw	flip	argmax_before	argmax_after
3	7c_W0Base_p1.jsonl	1	type	Dromoka Warrior	Soul Parry	0.284363	0.253612	0.030751	0.156518	0.164729	0	SPELL	SPELL
3	7c_W0Base_p1.jsonl	1	type	Dromoka Warrior	True Identity	0.284363	0.174882	0.109481	0.628493	0.649543	0	SPELL	SPELL
3	7c_W0Base_p1.jsonl	1	type	Dromoka Warrior	Angelsong	0.284363	0.268614	0.015749	0.078743	0.083176	0	SPELL	SPELL
3	7c_W0Base_p1.jsonl	1	type	Dromoka Warrior	Will of the All-Hunter	0.284363	0.287007	0.002644	0.012957	0.013749	0	SPELL	SPELL
3	7c_W0Base_p1.jsonl	1	type	Dromoka Warrior	Last Breath	0.284363	0.329983	0.045620	0.214658	0.230291	0	SPELL	SPELL
3	7c_W0Base_p1.jsonl	1	type	Dromoka Warrior	Curtain of Light	0.284363	0.304564	0.020201	0.097265	0.103667	0	SPELL	SPELL
3	7c_W0Base_p1.jsonl	1	type	Dromoka Warrior	Unlikely Alliance	0.284363	0.202338	0.082025	0.448825	0.466719	0	SPELL	SPELL
3	7c_W0Base_p1.jsonl	1	type	Dromoka Warrior	Phalanx Tactics	0.284363	0.229455	0.054908	0.288468	0.301859	0	SPELL	SPELL
3	7c_W0Base_p1.jsonl	1	self_mana	Dromoka Warrior	1	0.284363	0.287607	0.003244	0.015888	0.016862	0	SPELL	SPELL
3	7c_W0Base_p1.jsonl	2	type	Dromoka Warrior	Soul Parry	0.284363	0.253612	0.030751	0.156518	0.164729	0	SPELL	SPELL
3	7c_W0Base_p1.jsonl	2	type	Dromoka Warrior	True Identity	0.284363	0.174882	0.109481	0.628493	0.649543	0	SPELL	SPELL
3	7c_W0Base_p1.jsonl	2	type	Dromoka Warrior	Angelsong	0.284363	0.268614	0.015749	0.078743	0.083176	0	SPELL	SPELL
3	7c_W0Base_p1.jsonl	2	type	Dromoka Warrior	Will of the All-Hunter	0.284363	0.287007	0.002644	0.012957	0.013749	0	SPELL	SPELL
3	7c_W0Base_p1.jsonl	2	type	Dromoka Warrior	Last Breath	0.284363	0.329983	0.045620	0.214658	0.230291	0	SPELL	SPELL
3	7c_W0Base_p1.jsonl	2	type	Dromoka Warrior	Curtain of Light	0.284363	0.304564	0.020201	0.097265	0.103667	0	SPELL	SPELL
3	7c_W0Base_p1.jsonl	2	type	Dromoka Warrior	Unlikely Alliance	0.284363	0.202338	0.082025	0.448825	0.466719	0	SPELL	SPELL
3	7c_W0Base_p1.jsonl	2	type	Dromoka Warrior	Phalanx Tactics	0.284363	0.229455	0.054908	0.288468	0.301859	0	SPELL	SPELL
3	7c_W0Base_p1.jsonl	2	self_mana	Dromoka Warrior	2	0.284363	0.287607	0.003244	0.015888	0.016862	0	SPELL	SPELL
3	7c_W0Base_p1.jsonl	3	type	Dromoka Warrior	Soul Parry	0.284363	0.253612	0.030751	0.156518	0.164729	0	SPELL	SPELL
3	7c_W0Base_p1.jsonl	3	type	Dromoka Warrior	True Identity	0.284363	0.174882	0.109481	0.628493	0.649543	0	SPELL	SPELL
3	7c_W0Base_p1.jsonl	3	type	Dromoka Warrior	Angelsong	0.284363	0.268614	0.015749	0.078743	0.083176	0	SPELL	SPELL
3	7c_W0Base_p1.jsonl	3	type	Dromoka Warrior	Will of the All-Hunter	0.284363	0.287007	0.002644	0.012957	0.013749	0	SPELL	SPELL
3	7c_W0Base_p1.jsonl	3	type	Dromoka Warrior	Last Breath	0.284363	0.329983	0.045620	0.214658	0.230291	0	SPELL	SPELL
3	7c_W0Base_p1.jsonl	3	type	Dromoka Warrior	Curtain of Light	0.284363	0.304564	0.020201	0.097265	0.103667	0	SPELL	SPELL
3	7c_W0Base_p1.jsonl	3	type	Dromoka Warrior	Unlikely Alliance	0.284363	0.202338	0.082025	0.448825	0.466719	0	SPELL	SPELL
3	7c_W0Base_p1.jsonl	3	type	Dromoka Warrior	Phalanx Tactics	0.284363	0.229455	0.054908	0.288468	0.301859	0	SPELL	SPELL
3	7c_W0Base_p1.jsonl	3	self_mana	Dromoka Warrior	3	0.284363	0.287607	0.003244	0.015888	0.016862	0	SPELL	SPELL
5	7c_W0Base_p1.jsonl	1	type	Dromoka Warrior	Soul Parry	0.236372	0.218538	0.017834	0.101532	0.108959	0	SPELL	SPELL
5	7c_W0Base_p1.jsonl	1	type	Dromoka Warrior	True Identity	0.236372	0.140640	0.095732	0.637309	0.667076	0	SPELL	SPELL
5	7c_W0Base_p1.jsonl	1	type	Dromoka Warrior	Angelsong	0.236372	0.257031	0.020659	0.111217	0.120853	0	SPELL	SPELL
