event	name	learner	gen	deck	trained	n	pool	time_utc	path
snap	M_W_00256	M_W	0	W0Base	256	0	M_W	2026-09-14T04:03:09Z	/mnt/c/Users/sutanto4/Documents/CardGuru/rl/artifacts/v7/10/pool/M_W_00256.pt
snap	M_D_00256	M_D	0	BenchDimir	256	1	M_D	2026-09-14T04:11:46Z	/mnt/c/Users/sutanto4/Documents/CardGuru/rl/artifacts/v7/10/pool/M_D_00256.pt
snap	M_L_00256	M_L	0	G1Landfall	256	2	M_L	2026-09-14T04:18:14Z	/mnt/c/Users/sutanto4/Documents/CardGuru/rl/artifacts/v7/10/pool/M_L_00256.pt
snap	X_W.g0_00256	X_W	0	W0Base	256	3		2026-09-14T04:23:12Z	/mnt/c/Users/sutanto4/Documents/CardGuru/rl/artifacts/v7/10/pool/X_W.g0_00256.pt
snap	M_W_00512	M_W	0	W0Base	512	4	M_W	2026-09-14T04:31:37Z	/mnt/c/Users/sutanto4/Documents/CardGuru/rl/artifacts/v7/10/pool/M_W_00512.pt
snap	M_D_00512	M_D	0	BenchDimir	512	5	M_D	2026-09-14T04:40:59Z	/mnt/c/Users/sutanto4/Documents/CardGuru/rl/artifacts/v7/10/pool/M_D_00512.pt
snap	M_L_00512	M_L	0	G1Landfall	512	6	M_L	2026-09-14T04:58:01Z	/mnt/c/Users/sutanto4/Documents/CardGuru/rl/artifacts/v7/10/pool/M_L_00512.pt
snap	X_D.g0_00256	X_D	0	BenchDimir	256	7		2026-09-14T05:13:30Z	/mnt/c/Users/sutanto4/Documents/CardGuru/rl/artifacts/v7/10/pool/X_D.g0_00256.pt
snap	M_W_00768	M_W	0	W0Base	768	8	M_W	2026-09-14T05:21:45Z	/mnt/c/Users/sutanto4/Documents/CardGuru/rl/artifacts/v7/10/pool/M_W_00768.pt
snap	M_D_00768	M_D	0	BenchDimir	768	9	M_D	2026-09-14T05:40:01Z	/mnt/c/Users/sutanto4/Documents/CardGuru/rl/artifacts/v7/10/pool/M_D_00768.pt
