n	time_utc	hour	stage	learner	gen	trained_before	trained_after	bucket	draw	opp_kind	opp	opp_deck	episodes	wins	losses	draws	stalls	win_rate	job_errors	probe_games	probe_wr	probe_lo	probe_hi	snapshot	wall_s	rc
0	2026-09-14T04:03:09Z	0.090	1	M_W	0	0	256	first	-1.0	heuristic	heuristic	W0Base	256	138	117	1	1	0.5391	0					M_W_00256	322	0
1	2026-09-14T04:11:46Z	0.234	1	M_D	0	0	256	first	-1.0	heuristic	heuristic	BenchDimir	256	40	215	1	1	0.1562	0					M_D_00256	514	0
2	2026-09-14T04:18:14Z	0.341	1	M_L	0	0	256	first	-1.0	heuristic	heuristic	G1Landfall	256	25	231	0	0	0.0977	0					M_L_00256	386	0
3	2026-09-14T04:23:12Z	0.424	1	X_W	0	0	256	exploit	-1.0	rl	M_W_00256	W0Base	256	36	220	0	0	0.1406	0					X_W.g0_00256	295	0
4	2026-09-14T04:31:37Z	0.564	1	M_W	0	256	512	pfsp->self	0.6067	rl	M_W_00256	W0Base	256	139	111	6	6	0.5430	0					M_W_00512	505	0
5	2026-09-14T04:40:59Z	0.720	1	M_D	0	256	512	expl->heur	0.8001	heuristic	heuristic	BenchDimir	256	80	176	0	0	0.3125	0					M_D_00512	561	0
6	2026-09-14T04:58:01Z	1.004	1	M_L	0	256	512	self	0.2382	rl	M_L_00256	G1Landfall	256	169	86	1	1	0.6602	0					M_L_00512	1022	0
7	2026-09-14T05:13:30Z	1.263	1	X_D	0	0	256	exploit	-1.0	rl	M_D_00512	BenchDimir	256	156	99	1	1	0.6094	0					X_D.g0_00256	926	0
8	2026-09-14T05:21:45Z	1.400	1	M_W	0	512	768	self	0.1448	rl	M_W_00512	W0Base	256	131	113	12	12	0.5117	0					M_W_00768	494	0
9	2026-09-14T05:40:01Z	1.705	1	M_D	0	512	768	self	0.3187	rl	M_D_00512	BenchDimir	256	133	121	2	2	0.5195	0					M_D_00768	1095	0
10	2026-09-14T05:55:48Z	1.967	1	M_L	0	512	768	pfsp	0.551	rl	M_L_00256	G1Landfall	256	175	81	0	0	0.6836	0					M_L_00768	946	0
11	2026-09-14T06:04:01Z	2.104	1	X_L	0	0	256	exploit	-1.0	rl	M_L_00768	G1Landfall	256	102	154	0	0	0.3984	0					X_L.g0_00256	490	0
12	2026-09-14T06:13:19Z	2.259	1	M_W	0	768	1024	pfsp	0.4551	rl	M_W_00512	W0Base	256	160	84	12	12	0.6250	0	50	0.740	0.604	0.841	M_W_01024	558	0
13	2026-09-14T06:30:25Z	2.544	1	M_D	0	768	1024	self	0.3553	rl	M_D_00768	BenchDimir	256	101	154	1	1	0.3945	0	50	0.480	0.348	0.615	M_D_01024	1026	0
14	2026-09-14T06:44:48Z	2.784	1	M_L	0	768	1024	pfsp	0.42	rl	M_L_00512	G1Landfall	256	132	124	0	0	0.5156	0	50	0.440	0.312	0.577	M_L_01024	863	0
15	2026-09-14T06:52:30Z	2.912	1	X_W	0	256	512	exploit	-1.0	rl	M_W_01024	W0Base	256	28	227	1	1	0.1094	0					X_W.g0_00512	462	0
16	2026-09-14T07:01:00Z	3.054	1	M_W	0	1024	1280	pfsp	0.4556	rl	M_W_00256	W0Base	256	185	57	14	14	0.7227	0					M_W_01280	509	0
17	2026-09-14T07:17:15Z	3.325	1	M_D	0	1024	1280	pfsp	0.6223	rl	M_D_00768	BenchDimir	256	136	119	1	1	0.5312	0					M_D_01280	975	0
18	2026-09-14T07:30:52Z	3.552	1	M_L	0	1024	1280	pfsp	0.5256	rl	M_L_00512	G1Landfall	256	134	122	0	0	0.5234	0					M_L_01280	818	0
19	2026-09-14T07:45:44Z	3.800	1	X_D	0	256	512	exploit	-1.0	rl	M_D_01280	BenchDimir	256	133	121	2	2	0.5195	0					X_D.g0_00512	891	0
20	2026-09-14T07:54:12Z	3.941	1	M_W	0	1280	1536	expl	0.7489	rl	X_W.g0_00512	W0Base	256	188	64	4	4	0.7344	0					M_W_01536	508	0
21	2026-09-14T08:08:02Z	4.171	1	M_D	0	1280	1536	pfsp	0.5762	rl	M_D_01024	BenchDimir	256	107	147	2	2	0.4180	0					M_D_01536	829	0
22	2026-09-14T08:16:53Z	4.319	1	M_L	0	1280	1536	expl	0.7274	rl	X_L.g0_00256	G1Landfall	256	149	107	0	0	0.5820	0					M_L_01536	531	0
23	2026-09-14T08:25:36Z	4.464	1	X_L	0	256	512	exploit	-1.0	rl	M_L_01536	G1Landfall	256	105	151	0	0	0.4102	0					X_L.g0_00512	522	0
24	2026-09-14T08:33:01Z	4.588	1	M_W	0	1536	1792	self	0.1534	rl	M_W_01536	W0Base	256	147	106	3	3	0.5742	0					M_W_01792	445	0
25	2026-09-14T08:47:29Z	4.829	1	M_D	0	1536	1792	pfsp	0.4685	rl	M_D_00256	BenchDimir	256	189	64	3	3	0.7383	0					M_D_01792	868	0
26	2026-09-14T08:55:34Z	4.964	1	M_L	0	1536	1792	pfsp	0.5631	rl	M_L_01280	G1Landfall	256	116	140	0	0	0.4531	0					M_L_01792	485	0
27	2026-09-14T09:03:29Z	5.096	1	X_W	0	512	768	exploit	-1.0	rl	M_W_01792	W0Base	256	102	153	1	1	0.3984	0					X_W.g0_00768	475	0
28	2026-09-14T09:11:57Z	5.237	2	M_W	0	1792	2048	pfsp	0.3237	rl	M_W_00512	W0Base	256	144	110	2	2	0.5625	0	50	0.700	0.562	0.809	M_W_02048	503	0
