set	game	file	r	turns	creatures	first_creature_own_turn	lands_by4	lands	nin_windows	nin_taken	nin_opp_turns	flash_inst_off	flash_inst_taken	ctr_off	ctr_taken	rem_n	rem_best	selfrem_off	selfrem_taken	rh_blight
drill_M_D_n024_t06400	0	rec_drill_M_D_n024_t06400.jsonl	-1.0	14	3	3	3	4	0	0	0	2	2	0	0	1	1	0	0	0
drill_M_D_n024_t06400	1	rec_drill_M_D_n024_t06400.jsonl	-1.0	15	4	3	4	6	0	0	0	3	3	1	1	0	0	0	0	0
drill_M_D_n024_t06400	2	rec_drill_M_D_n024_t06400.jsonl	1.0	21	6	1	4	4	0	0	0	3	2	5	4	2	2	0	0	2
drill_M_D_n024_t06400	3	rec_drill_M_D_n024_t06400.jsonl	-1.0	23	3	2	4	7	0	0	0	2	2	3	3	1	1	1	1	1
drill_M_D_n024_t06400	4	rec_drill_M_D_n024_t06400.jsonl	1.0	37	4	8	3	12	0	0	0	3	3	2	2	0	0	0	0	0
drill_M_D_n024_t06400	5	rec_drill_M_D_n024_t06400.jsonl	1.0	26	6	1	4	6	0	0	0	4	4	3	3	2	1	0	0	1
drill_M_D_n024_t06400	6	rec_drill_M_D_n024_t06400.jsonl	-1.0	14	3	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0
drill_M_D_n024_t06400	7	rec_drill_M_D_n024_t06400.jsonl	1.0	22	3	4	4	9	2	2	0	3	3	1	1	0	0	1	1	1
drill_M_D_n024_t06400	8	rec_drill_M_D_n024_t06400.jsonl	-1.0	20	4	2	2	3	0	0	0	4	4	1	1	2	1	0	0	0
drill_M_D_n024_t06400	9	rec_drill_M_D_n024_t06400.jsonl	1.0	14	5	3	4	7	0	0	0	4	4	0	0	0	0	1	1	0
drill_M_D_n024_t06400	10	rec_drill_M_D_n024_t06400.jsonl	1.0	13	3	2	4	4	0	0	0	2	2	0	0	2	2	0	0	1
drill_M_D_n024_t06400	11	rec_drill_M_D_n024_t06400.jsonl	1.0	14	3	5	4	4	0	0	0	3	2	0	0	1	1	0	0	0
drill_M_D_n024_t06400	12	rec_drill_M_D_n024_t06400.jsonl	1.0	17	4	3	3	4	2	2	2	4	4	0	0	0	0	1	1	0
drill_M_D_n024_t06400	13	rec_drill_M_D_n024_t06400.jsonl	-1.0	21	3	6	1	4	0	0	0	3	3	1	1	1	1	0	0	0
drill_M_D_n024_t06400	14	rec_drill_M_D_n024_t06400.jsonl	1.0	17	5	2	5	8	0	0	0	5	4	1	1	1	1	2	2	2
drill_M_D_n024_t06400	15	rec_drill_M_D_n024_t06400.jsonl	1.0	22	5	5	2	7	0	0	0	4	3	3	3	4	4	0	0	1
drill_M_D_n024_t06400	16	rec_drill_M_D_n024_t06400.jsonl	-1.0	26	6	0	1	3	0	0	0	5	4	1	0	1	1	2	2	2
drill_M_D_n024_t06400	17	rec_drill_M_D_n024_t06400.jsonl	-1.0	21	5	1	4	7	0	0	0	3	3	2	2	1	0	0	0	0
drill_M_D_n024_t06400	18	rec_drill_M_D_n024_t06400.jsonl	-1.0	20	4	1	5	7	0	0	0	4	3	1	1	2	2	0	0	1
drill_M_D_n024_t06400	19	rec_drill_M_D_n024_t06400.jsonl	1.0	24	6	1	2	5	0	0	0	3	3	2	2	2	2	0	0	1
drill_M_D_n024_t06400	20	rec_drill_M_D_n024_t06400.jsonl	-1.0	26	4	4	5	8	0	0	0	6	5	0	0	1	0	0	0	1
drill_M_D_n024_t06400	21	rec_drill_M_D_n024_t06400.jsonl	1.0	22	7	3	4	11	0	0	0	4	4	2	2	2	2	0	0	1
drill_M_D_n024_t06400	22	rec_drill_M_D_n024_t06400.jsonl	1.0	21	7	2	3	7	0	0	0	4	4	3	3	1	1	0	0	1
drill_M_D_n024_t06400	23	rec_drill_M_D_n024_t06400.jsonl	1.0	22	6	4	3	8	1	0	1	5	5	4	4	2	2	0	0	1
drill_M_D_n024_t06400	24	rec_drill_M_D_n024_t06400.jsonl	-1.0	16	4	1	5	6	0	0	0	4	4	3	3	1	0	0	0	0
drill_M_D_n024_t06400	25	rec_drill_M_D_n024_t06400.jsonl	-1.0	21	6	2	4	9	0	0	0	4	4	0	0	0	0	2	2	2
