set	game	file	r	turns	creatures	first_creature_own_turn	lands_by4	lands	nin_windows	nin_taken	nin_opp_turns	flash_inst_off	flash_inst_taken	ctr_off	ctr_taken	rem_n	rem_best	selfrem_off	selfrem_taken	rh_blight
drill_M_D_p2048_cp7	0	rec_drill_M_D_p2048_cp7.jsonl	-1.0	16	4	0	5	8	0	0	0	11	1	0	0	2	2	0	0	2
drill_M_D_p2048_cp7	1	rec_drill_M_D_p2048_cp7.jsonl	-1.0	13	2	1	4	5	0	0	0	1	1	0	0	0	0	0	0	0
drill_M_D_p2048_cp7	2	rec_drill_M_D_p2048_cp7.jsonl	-1.0	14	4	1	4	5	0	0	0	18	3	4	0	1	0	1	1	1
drill_M_D_p2048_cp7	3	rec_drill_M_D_p2048_cp7.jsonl	-1.0	15	3	1	3	5	0	0	0	23	2	0	0	1	1	0	0	0
drill_M_D_p2048_cp7	4	rec_drill_M_D_p2048_cp7.jsonl	-1.0	16	1	2	5	8	0	0	0	5	1	2	0	1	1	0	0	1
drill_M_D_p2048_cp7	5	rec_drill_M_D_p2048_cp7.jsonl	-1.0	27	4	3	4	8	0	0	0	13	2	1	1	1	1	2	2	2
drill_M_D_p2048_cp7	6	rec_drill_M_D_p2048_cp7.jsonl	-1.0	16	2	3	5	7	0	0	0	2	1	0	0	1	0	0	0	0
drill_M_D_p2048_cp7	7	rec_drill_M_D_p2048_cp7.jsonl	1.0	22	4	2	3	9	0	0	0	7	2	3	1	1	1	1	1	1
drill_M_D_p2048_cp7	8	rec_drill_M_D_p2048_cp7.jsonl	-1.0	16	4	0	5	5	0	0	0	30	0	1	0	0	0	1	1	1
drill_M_D_p2048_cp7	9	rec_drill_M_D_p2048_cp7.jsonl	-1.0	15	3	3	4	7	0	0	0	7	2	2	1	0	0	0	0	0
drill_M_D_p2048_cp7	10	rec_drill_M_D_p2048_cp7.jsonl	-1.0	12	3	2	3	3	0	0	0	17	4	3	2	1	0	0	0	0
drill_M_D_p2048_cp7	11	rec_drill_M_D_p2048_cp7.jsonl	-1.0	11	2	3	4	5	0	0	0	5	2	1	1	0	0	0	0	0
drill_M_D_p2048_cp7	12	rec_drill_M_D_p2048_cp7.jsonl	-1.0	32	6	1	5	9	0	0	0	17	3	0	0	0	0	1	1	1
drill_M_D_p2048_cp7	13	rec_drill_M_D_p2048_cp7.jsonl	-1.0	25	6	6	3	7	1	1	0	56	2	1	1	2	1	0	0	1
drill_M_D_p2048_cp7	14	rec_drill_M_D_p2048_cp7.jsonl	-1.0	12	1	3	5	6	0	0	0	9	0	1	0	0	0	0	0	0
drill_M_D_p2048_cp7	15	rec_drill_M_D_p2048_cp7.jsonl	1.0	16	3	3	4	8	0	0	1	11	3	1	1	0	0	0	0	0
drill_M_D_p2048_cp7	16	rec_drill_M_D_p2048_cp7.jsonl	-1.0	16	5	3	5	8	0	0	0	8	0	0	0	0	0	0	0	0
drill_M_D_p2048_cp7	17	rec_drill_M_D_p2048_cp7.jsonl	-1.0	19	2	2	4	9	0	0	0	40	1	0	0	0	0	1	1	0
drill_M_D_p2048_cp7	18	rec_drill_M_D_p2048_cp7.jsonl	1.0	19	6	1	4	5	1	1	1	21	2	10	2	0	0	0	0	0
drill_M_D_p2048_cp7	19	rec_drill_M_D_p2048_cp7.jsonl	-1.0	19	4	2	4	6	0	0	0	5	2	2	2	0	0	5	2	1
drill_M_D_p2048_cp7	20	rec_drill_M_D_p2048_cp7.jsonl	-1.0	18	1	7	5	7	0	0	0	59	2	1	1	1	1	0	0	0
drill_M_D_p2048_cp7	21	rec_drill_M_D_p2048_cp7.jsonl	1.0	22	7	3	4	9	0	0	0	53	2	6	1	0	0	3	2	1
drill_M_D_p2048_cp7	22	rec_drill_M_D_p2048_cp7.jsonl	-1.0	12	0	None	1	2	0	0	0	0	0	0	0	0	0	0	0	0
drill_M_D_p2048_cp7	23	rec_drill_M_D_p2048_cp7.jsonl	1.0	18	3	1	4	8	0	0	0	3	1	2	0	2	1	0	0	1
drill_M_D_p2048_cp7	24	rec_drill_M_D_p2048_cp7.jsonl	-1.0	22	5	0	5	7	0	0	0	45	3	1	1	1	1	1	1	1
