event	name	learner	gen	deck	trained	n	pool	time_utc	path
snap	M_D_04352	M_D	0	BenchDimir	4352	0	M_D	2026-09-14T16:00:47Z	/mnt/c/Users/sutanto4/Documents/CardGuru/rl/artifacts/v7/11/drill/pool/M_D_04352.pt
snap	M_L_04096	M_L	0	G1Landfall	4096	1	M_L	2026-09-14T16:09:17Z	/mnt/c/Users/sutanto4/Documents/CardGuru/rl/artifacts/v7/11/drill/pool/M_L_04096.pt
snap	X_D.g1_00512	X_D	1	BenchDimir	512	2		2026-09-14T16:38:57Z	/mnt/c/Users/sutanto4/Documents/CardGuru/rl/artifacts/v7/11/drill/pool/X_D.g1_00512.pt
snap	M_D_04608	M_D	0	BenchDimir	4608	3	M_D	2026-09-14T16:48:37Z	/mnt/c/Users/sutanto4/Documents/CardGuru/rl/artifacts/v7/11/drill/pool/M_D_04608.pt
snap	M_L_04352	M_L	0	G1Landfall	4352	4	M_L	2026-09-14T16:57:03Z	/mnt/c/Users/sutanto4/Documents/CardGuru/rl/artifacts/v7/11/drill/pool/M_L_04352.pt
snap	X_L.g1_00512	X_L	1	G1Landfall	512	5		2026-09-14T17:08:52Z	/mnt/c/Users/sutanto4/Documents/CardGuru/rl/artifacts/v7/11/drill/pool/X_L.g1_00512.pt
snap	M_D_04864	M_D	0	BenchDimir	4864	6	M_D	2026-09-14T17:20:30Z	/mnt/c/Users/sutanto4/Documents/CardGuru/rl/artifacts/v7/11/drill/pool/M_D_04864.pt
snap	M_L_04608	M_L	0	G1Landfall	4608	7	M_L	2026-09-14T17:29:31Z	/mnt/c/Users/sutanto4/Documents/CardGuru/rl/artifacts/v7/11/drill/pool/M_L_04608.pt
snap	X_D.g1_00768	X_D	1	BenchDimir	768	8		2026-09-14T18:06:25Z	/mnt/c/Users/sutanto4/Documents/CardGuru/rl/artifacts/v7/11/drill/pool/X_D.g1_00768.pt
snap	M_D_05120	M_D	0	BenchDimir	5120	9	M_D	2026-09-14T18:22:53Z	/mnt/c/Users/sutanto4/Documents/CardGuru/rl/artifacts/v7/11/drill/pool/M_D_05120.pt
snap	M_L_04864	M_L	0	G1Landfall	4864	10	M_L	2026-09-14T18:36:28Z	/mnt/c/Users/sutanto4/Documents/CardGuru/rl/artifacts/v7/11/drill/pool/M_L_04864.pt
snap	X_L.g1_00768	X_L	1	G1Landfall	768	11		2026-09-14T18:52:58Z	/mnt/c/Users/sutanto4/Documents/CardGuru/rl/artifacts/v7/11/drill/pool/X_L.g1_00768.pt
snap	M_D_05376	M_D	0	BenchDimir	5376	12	M_D	2026-09-14T19:01:37Z	/mnt/c/Users/sutanto4/Documents/CardGuru/rl/artifacts/v7/11/drill/pool/M_D_05376.pt
snap	M_L_05120	M_L	0	G1Landfall	5120	13	M_L	2026-09-14T19:08:22Z	/mnt/c/Users/sutanto4/Documents/CardGuru/rl/artifacts/v7/11/drill/pool/M_L_05120.pt
snap	X_D.g1_01024	X_D	1	BenchDimir	1024	14		2026-09-14T19:29:14Z	/mnt/c/Users/sutanto4/Documents/CardGuru/rl/artifacts/v7/11/drill/pool/X_D.g1_01024.pt
snap	M_D_05632	M_D	0	BenchDimir	5632	15	M_D	2026-09-14T19:39:29Z	/mnt/c/Users/sutanto4/Documents/CardGuru/rl/artifacts/v7/11/drill/pool/M_D_05632.pt
snap	M_L_05376	M_L	0	G1Landfall	5376	16	M_L	2026-09-14T19:54:07Z	/mnt/c/Users/sutanto4/Documents/CardGuru/rl/artifacts/v7/11/drill/pool/M_L_05376.pt
snap	X_L.g1_01024	X_L	1	G1Landfall	1024	17		2026-09-14T20:12:59Z	/mnt/c/Users/sutanto4/Documents/CardGuru/rl/artifacts/v7/11/drill/pool/X_L.g1_01024.pt
snap	M_D_05888	M_D	0	BenchDimir	5888	18	M_D	2026-09-14T20:31:47Z	/mnt/c/Users/sutanto4/Documents/CardGuru/rl/artifacts/v7/11/drill/pool/M_D_05888.pt
snap	M_L_05632	M_L	0	G1Landfall	5632	19	M_L	2026-09-14T20:41:29Z	/mnt/c/Users/sutanto4/Documents/CardGuru/rl/artifacts/v7/11/drill/pool/M_L_05632.pt
snap	X_D.g2_00256	X_D	2	BenchDimir	256	20		2026-09-14T21:00:09Z	/mnt/c/Users/sutanto4/Documents/CardGuru/rl/artifacts/v7/11/drill/pool/X_D.g2_00256.pt
snap	M_D_06144	M_D	0	BenchDimir	6144	21	M_D	2026-09-14T21:16:43Z	/mnt/c/Users/sutanto4/Documents/CardGuru/rl/artifacts/v7/11/drill/pool/M_D_06144.pt
snap	M_L_05888	M_L	0	G1Landfall	5888	22	M_L	2026-09-14T21:30:53Z	/mnt/c/Users/sutanto4/Documents/CardGuru/rl/artifacts/v7/11/drill/pool/M_L_05888.pt
snap	X_L.g2_00256	X_L	2	G1Landfall	256	23		2026-09-14T21:42:41Z	/mnt/c/Users/sutanto4/Documents/CardGuru/rl/artifacts/v7/11/drill/pool/X_L.g2_00256.pt
snap	M_D_06400	M_D	0	BenchDimir	6400	24	M_D	2026-09-14T21:55:07Z	/mnt/c/Users/sutanto4/Documents/CardGuru/rl/artifacts/v7/11/drill/pool/M_D_06400.pt
snap	M_L_06144	M_L	0	G1Landfall	6144	25	M_L	2026-09-14T22:04:42Z	/mnt/c/Users/sutanto4/Documents/CardGuru/rl/artifacts/v7/11/drill/pool/M_L_06144.pt
