n	time_utc	hour	stage	learner	gen	trained_before	trained_after	bucket	draw	opp_kind	opp	opp_deck	episodes	wins	losses	draws	stalls	win_rate	job_errors	probe_games	probe_wr	probe_lo	probe_hi	snapshot	wall_s	rc
0	2026-09-14T16:00:47Z	0.174	2	M_D	0	4096	4352	cross(quota)	0.5779	rl	M_L_03840	G1Landfall	256	141	115	0	0	0.5508	0					M_D_04352	618	0
1	2026-09-14T16:09:17Z	0.315	2	M_L	0	3840	4096	cross(quota)	0.3563	rl	M_D_04352	BenchDimir	256	79	177	0	0	0.3086	0					M_L_04096	510	0
2	2026-09-14T16:38:57Z	0.810	2	X_D	1	256	512	exploit	-1.0	rl	M_D_04352	BenchDimir	256	0	256	0	0	0.0000	0					X_D.g1_00512	1780	0
3	2026-09-14T16:48:37Z	0.971	2	M_D	0	4352	4608	heur(quota)	0.8733	heuristic	heuristic	BenchDimir	256	133	122	1	1	0.5195	0					M_D_04608	527	0
4	2026-09-14T16:57:03Z	1.111	2	M_L	0	4096	4352	heur(quota)	0.6067	heuristic	heuristic	G1Landfall	256	95	161	0	0	0.3711	0					M_L_04352	364	0
5	2026-09-14T17:08:52Z	1.308	2	X_L	1	256	512	exploit	-1.0	rl	M_L_04352	G1Landfall	256	39	217	0	0	0.1523	0					X_L.g1_00512	642	0
6	2026-09-14T17:20:30Z	1.502	2	M_D	0	4608	4864	self	0.2382	rl	M_D_04608	BenchDimir	256	109	147	0	0	0.4258	0					M_D_04864	698	0
7	2026-09-14T17:29:31Z	1.652	2	M_L	0	4352	4608	self	0.2565	rl	M_L_04352	G1Landfall	256	94	162	0	0	0.3672	0					M_L_04608	393	0
8	2026-09-14T18:06:25Z	2.268	2	X_D	1	512	768	exploit	-1.0	rl	M_D_04864	BenchDimir	256	5	244	7	7	0.0195	0					X_D.g1_00768	2137	0
9	2026-09-14T18:22:53Z	2.542	2	M_D	0	4864	5120	pfsp	0.3187	rl	M_D_01792	BenchDimir	256	216	40	0	0	0.8438	0	100	0.620	0.522	0.709	M_D_05120	986	0
