set	game	file	r	turns	lands	own_turns	attack_turns	precombat_drops_on_attack_turns	drops_on_attack_turns	lf_can_turns	lf_attack_turns	blk_pairs	blk_small
b1_M_L_03840_cp7	0	rec_b1_M_L_03840_cp7.jsonl	-1.0	10	5	5	2	2	2	2	2	0	0
b1_M_L_03840_cp7	1	rec_b1_M_L_03840_cp7.jsonl	1.0	14	6	7	5	4	4	5	5	0	0
b1_M_L_03840_cp7	2	rec_b1_M_L_03840_cp7.jsonl	-1.0	10	5	5	3	3	3	3	3	0	0
b1_M_L_03840_cp7	3	rec_b1_M_L_03840_cp7.jsonl	-1.0	11	1	4	0	0	0	0	0	0	0
b1_M_L_03840_cp7	4	rec_b1_M_L_03840_cp7.jsonl	-1.0	14	5	7	4	2	2	4	4	0	0
b1_M_L_03840_cp7	5	rec_b1_M_L_03840_cp7.jsonl	-1.0	11	5	5	3	3	3	3	3	0	0
b1_M_L_03840_cp7	6	rec_b1_M_L_03840_cp7.jsonl	-1.0	12	3	6	2	1	1	2	2	0	0
b1_M_L_03840_cp7	7	rec_b1_M_L_03840_cp7.jsonl	1.0	10	4	5	4	3	3	4	4	0	0
b1_M_L_03840_cp7	8	rec_b1_M_L_03840_cp7.jsonl	1.0	17	8	9	5	4	4	5	5	4	4
b1_M_L_03840_cp7	9	rec_b1_M_L_03840_cp7.jsonl	-1.0	13	2	6	3	1	1	3	3	0	0
b1_M_L_03840_cp7	10	rec_b1_M_L_03840_cp7.jsonl	1.0	9	5	5	4	4	4	4	4	0	0
b1_M_L_03840_cp7	11	rec_b1_M_L_03840_cp7.jsonl	-1.0	9	4	4	3	3	3	3	3	0	0
b1_M_L_03840_cp7	12	rec_b1_M_L_03840_cp7.jsonl	-1.0	12	6	6	4	4	4	4	4	0	0
b1_M_L_03840_cp7	13	rec_b1_M_L_03840_cp7.jsonl	-1.0	9	4	4	2	2	2	2	2	0	0
b1_M_L_03840_cp7	14	rec_b1_M_L_03840_cp7.jsonl	-1.0	20	7	10	8	5	5	8	8	3	3
b1_M_L_03840_cp7	15	rec_b1_M_L_03840_cp7.jsonl	-1.0	11	3	5	3	2	2	3	3	0	0
b1_M_L_03840_cp7	16	rec_b1_M_L_03840_cp7.jsonl	1.0	15	5	8	6	3	3	6	6	0	0
b1_M_L_03840_cp7	17	rec_b1_M_L_03840_cp7.jsonl	-1.0	13	6	6	4	4	4	4	4	0	0
b1_M_L_03840_cp7	18	rec_b1_M_L_03840_cp7.jsonl	-1.0	14	4	7	4	1	1	4	4	1	0
b1_M_L_03840_cp7	19	rec_b1_M_L_03840_cp7.jsonl	-1.0	13	4	6	4	2	2	4	4	0	0
b1_M_L_03840_cp7	20	rec_b1_M_L_03840_cp7.jsonl	-1.0	14	4	7	3	1	1	3	3	0	0
b1_M_L_03840_cp7	21	rec_b1_M_L_03840_cp7.jsonl	-1.0	13	5	6	1	1	1	1	1	4	4
b1_M_L_03840_cp7	22	rec_b1_M_L_03840_cp7.jsonl	-1.0	16	8	8	6	6	6	6	6	0	0
b1_M_L_03840_cp7	23	rec_b1_M_L_03840_cp7.jsonl	-1.0	19	9	9	8	8	8	8	8	0	0
b1_M_L_03840_cp7	24	rec_b1_M_L_03840_cp7.jsonl	-1.0	14	6	6	3	3	3	3	3	2	2
