set	game	file	r	turns	lands	own_turns	attack_turns	precombat_drops_on_attack_turns	drops_on_attack_turns	lf_can_turns	lf_attack_turns	blk_pairs	blk_small
b1_M_L_03840_heuristic	0	rec_b1_M_L_03840_heuristic.jsonl	-1.0	12	5	6	4	3	3	4	4	2	2
b1_M_L_03840_heuristic	1	rec_b1_M_L_03840_heuristic.jsonl	1.0	10	5	5	4	4	4	4	4	0	0
b1_M_L_03840_heuristic	2	rec_b1_M_L_03840_heuristic.jsonl	-1.0	10	5	5	3	3	3	3	3	0	0
b1_M_L_03840_heuristic	3	rec_b1_M_L_03840_heuristic.jsonl	-1.0	13	4	6	5	3	3	5	5	1	1
b1_M_L_03840_heuristic	4	rec_b1_M_L_03840_heuristic.jsonl	1.0	11	6	6	4	4	4	4	4	0	0
b1_M_L_03840_heuristic	5	rec_b1_M_L_03840_heuristic.jsonl	-1.0	13	4	6	5	3	3	5	5	0	0
b1_M_L_03840_heuristic	6	rec_b1_M_L_03840_heuristic.jsonl	-1.0	10	2	5	4	1	1	4	4	1	1
b1_M_L_03840_heuristic	7	rec_b1_M_L_03840_heuristic.jsonl	1.0	14	7	7	3	3	3	3	3	0	0
b1_M_L_03840_heuristic	8	rec_b1_M_L_03840_heuristic.jsonl	-1.0	12	3	6	4	2	2	4	4	0	0
b1_M_L_03840_heuristic	9	rec_b1_M_L_03840_heuristic.jsonl	1.0	16	6	8	6	4	4	6	6	1	0
b1_M_L_03840_heuristic	10	rec_b1_M_L_03840_heuristic.jsonl	1.0	9	3	5	4	2	2	4	4	0	0
b1_M_L_03840_heuristic	11	rec_b1_M_L_03840_heuristic.jsonl	1.0	12	5	6	3	2	2	3	3	0	0
b1_M_L_03840_heuristic	12	rec_b1_M_L_03840_heuristic.jsonl	1.0	11	5	6	4	3	3	4	4	0	0
b1_M_L_03840_heuristic	13	rec_b1_M_L_03840_heuristic.jsonl	-1.0	9	4	4	2	2	2	2	2	0	0
b1_M_L_03840_heuristic	14	rec_b1_M_L_03840_heuristic.jsonl	1.0	9	5	5	4	4	4	4	4	0	0
b1_M_L_03840_heuristic	15	rec_b1_M_L_03840_heuristic.jsonl	1.0	12	6	6	4	4	4	4	4	0	0
b1_M_L_03840_heuristic	16	rec_b1_M_L_03840_heuristic.jsonl	1.0	11	4	6	4	2	2	4	4	0	0
b1_M_L_03840_heuristic	17	rec_b1_M_L_03840_heuristic.jsonl	1.0	12	4	6	5	3	3	5	5	0	0
b1_M_L_03840_heuristic	18	rec_b1_M_L_03840_heuristic.jsonl	1.0	13	5	7	6	4	4	6	6	0	0
b1_M_L_03840_heuristic	19	rec_b1_M_L_03840_heuristic.jsonl	1.0	12	6	6	4	4	4	4	4	0	0
b1_M_L_03840_heuristic	20	rec_b1_M_L_03840_heuristic.jsonl	1.0	13	5	7	5	3	3	5	5	1	0
b1_M_L_03840_heuristic	21	rec_b1_M_L_03840_heuristic.jsonl	-1.0	9	4	4	2	2	2	2	2	0	0
b1_M_L_03840_heuristic	22	rec_b1_M_L_03840_heuristic.jsonl	1.0	13	6	7	6	5	5	6	6	0	0
b1_M_L_03840_heuristic	23	rec_b1_M_L_03840_heuristic.jsonl	-1.0	11	4	5	3	2	2	3	3	0	0
b1_M_L_03840_heuristic	24	rec_b1_M_L_03840_heuristic.jsonl	1.0	11	4	6	5	3	3	5	5	0	0
b1_M_L_03840_heuristic	25	rec_b1_M_L_03840_heuristic.jsonl	-1.0	13	3	6	4	2	2	4	4	1	0
b1_M_L_03840_heuristic	26	rec_b1_M_L_03840_heuristic.jsonl	1.0	13	5	7	5	3	3	5	5	0	0
b1_M_L_03840_heuristic	27	rec_b1_M_L_03840_heuristic.jsonl	1.0	10	5	5	3	3	3	3	3	0	0
b1_M_L_03840_heuristic	28	rec_b1_M_L_03840_heuristic.jsonl	1.0	17	6	9	3	1	1	3	3	1	0
b1_M_L_03840_heuristic	29	rec_b1_M_L_03840_heuristic.jsonl	-1.0	11	5	5	3	3	3	3	3	1	1
b1_M_L_03840_heuristic	30	rec_b1_M_L_03840_heuristic.jsonl	-1.0	10	5	5	3	3	3	3	3	2	2
b1_M_L_03840_heuristic	31	rec_b1_M_L_03840_heuristic.jsonl	1.0	12	6	6	4	4	4	4	4	0	0
b1_M_L_03840_heuristic	32	rec_b1_M_L_03840_heuristic.jsonl	1.0	13	3	7	5	1	1	5	5	0	0
b1_M_L_03840_heuristic	33	rec_b1_M_L_03840_heuristic.jsonl	-1.0	11	5	5	3	3	3	3	3	0	0
b1_M_L_03840_heuristic	34	rec_b1_M_L_03840_heuristic.jsonl	1.0	13	6	7	6	5	5	6	6	0	0
b1_M_L_03840_heuristic	35	rec_b1_M_L_03840_heuristic.jsonl	-1.0	11	3	5	3	1	1	3	3	0	0
b1_M_L_03840_heuristic	36	rec_b1_M_L_03840_heuristic.jsonl	1.0	11	5	6	3	2	2	3	3	0	0
b1_M_L_03840_heuristic	37	rec_b1_M_L_03840_heuristic.jsonl	-1.0	11	5	5	3	3	3	3	3	1	1
b1_M_L_03840_heuristic	38	rec_b1_M_L_03840_heuristic.jsonl	1.0	11	5	6	5	4	4	5	5	0	0
b1_M_L_03840_heuristic	39	rec_b1_M_L_03840_heuristic.jsonl	1.0	12	5	6	5	4	4	5	5	0	0
