set	game	file	r	turns	lands	own_turns	attack_turns	precombat_drops_on_attack_turns	drops_on_attack_turns	lf_can_turns	lf_attack_turns	blk_pairs	blk_small
b1_M_L_s1end_cp7	0	rec_b1_M_L_s1end_cp7.jsonl	1.0	19	8	10	7	5	5	7	7	2	2
b1_M_L_s1end_cp7	1	rec_b1_M_L_s1end_cp7.jsonl	-1.0	17	7	8	2	1	1	2	2	8	8
b1_M_L_s1end_cp7	2	rec_b1_M_L_s1end_cp7.jsonl	-1.0	16	8	8	6	6	6	6	6	2	2
b1_M_L_s1end_cp7	3	rec_b1_M_L_s1end_cp7.jsonl	-1.0	11	1	4	0	0	0	0	0	0	0
b1_M_L_s1end_cp7	4	rec_b1_M_L_s1end_cp7.jsonl	-1.0	18	6	9	4	2	2	4	4	5	5
b1_M_L_s1end_cp7	5	rec_b1_M_L_s1end_cp7.jsonl	-1.0	13	6	6	1	1	1	1	1	3	3
b1_M_L_s1end_cp7	6	rec_b1_M_L_s1end_cp7.jsonl	-1.0	12	3	4	0	0	0	0	0	2	2
b1_M_L_s1end_cp7	7	rec_b1_M_L_s1end_cp7.jsonl	-1.0	19	4	9	6	2	2	6	6	6	5
b1_M_L_s1end_cp7	8	rec_b1_M_L_s1end_cp7.jsonl	-1.0	12	6	6	2	2	2	2	2	2	2
b1_M_L_s1end_cp7	9	rec_b1_M_L_s1end_cp7.jsonl	1.0	26	4	13	12	3	3	12	12	1	1
b1_M_L_s1end_cp7	10	rec_b1_M_L_s1end_cp7.jsonl	1.0	13	7	7	6	6	6	6	6	2	2
b1_M_L_s1end_cp7	11	rec_b1_M_L_s1end_cp7.jsonl	1.0	16	7	8	7	6	6	7	7	4	4
b1_M_L_s1end_cp7	12	rec_b1_M_L_s1end_cp7.jsonl	-1.0	18	8	9	5	4	4	5	5	3	3
b1_M_L_s1end_cp7	13	rec_b1_M_L_s1end_cp7.jsonl	-1.0	13	5	6	4	3	3	4	4	2	2
b1_M_L_s1end_cp7	14	rec_b1_M_L_s1end_cp7.jsonl	1.0	23	8	12	10	6	6	10	10	1	1
b1_M_L_s1end_cp7	15	rec_b1_M_L_s1end_cp7.jsonl	-1.0	13	4	6	5	3	3	5	5	2	2
b1_M_L_s1end_cp7	16	rec_b1_M_L_s1end_cp7.jsonl	1.0	25	7	13	11	5	5	11	11	5	5
b1_M_L_s1end_cp7	17	rec_b1_M_L_s1end_cp7.jsonl	1.0	26	7	13	8	3	3	8	8	4	4
b1_M_L_s1end_cp7	18	rec_b1_M_L_s1end_cp7.jsonl	-1.0	14	4	7	1	0	0	1	1	4	4
b1_M_L_s1end_cp7	19	rec_b1_M_L_s1end_cp7.jsonl	1.0	14	4	7	5	2	2	5	5	0	0
b1_M_L_s1end_cp7	20	rec_b1_M_L_s1end_cp7.jsonl	-1.0	16	4	8	1	0	0	1	1	3	3
b1_M_L_s1end_cp7	21	rec_b1_M_L_s1end_cp7.jsonl	-1.0	13	5	6	0	0	0	0	0	3	3
b1_M_L_s1end_cp7	22	rec_b1_M_L_s1end_cp7.jsonl	-1.0	18	8	9	6	6	6	6	6	4	4
b1_M_L_s1end_cp7	23	rec_b1_M_L_s1end_cp7.jsonl	-1.0	9	4	4	0	0	0	0	0	1	1
b1_M_L_s1end_cp7	24	rec_b1_M_L_s1end_cp7.jsonl	-1.0	14	6	7	3	3	3	3	3	3	3
