set	game	file	r	turns	lands	own_turns	attack_turns	precombat_drops_on_attack_turns	drops_on_attack_turns	lf_can_turns	lf_attack_turns	blk_pairs	blk_small
b1_M_L_s1end_heuristic	0	rec_b1_M_L_s1end_heuristic.jsonl	-1.0	14	6	7	5	5	5	5	5	3	3
b1_M_L_s1end_heuristic	1	rec_b1_M_L_s1end_heuristic.jsonl	-1.0	15	7	7	5	5	5	5	5	2	2
b1_M_L_s1end_heuristic	2	rec_b1_M_L_s1end_heuristic.jsonl	-1.0	20	9	10	2	2	2	2	2	7	2
b1_M_L_s1end_heuristic	3	rec_b1_M_L_s1end_heuristic.jsonl	-1.0	17	4	8	4	3	3	4	4	6	5
b1_M_L_s1end_heuristic	4	rec_b1_M_L_s1end_heuristic.jsonl	1.0	21	7	11	7	3	3	7	7	5	1
b1_M_L_s1end_heuristic	5	rec_b1_M_L_s1end_heuristic.jsonl	-1.0	19	4	9	8	3	3	8	8	6	1
b1_M_L_s1end_heuristic	6	rec_b1_M_L_s1end_heuristic.jsonl	-1.0	12	3	6	2	1	1	2	2	5	5
b1_M_L_s1end_heuristic	7	rec_b1_M_L_s1end_heuristic.jsonl	1.0	20	8	10	8	6	6	8	8	4	3
b1_M_L_s1end_heuristic	8	rec_b1_M_L_s1end_heuristic.jsonl	-1.0	14	3	7	5	2	2	5	5	3	3
b1_M_L_s1end_heuristic	9	rec_b1_M_L_s1end_heuristic.jsonl	-1.0	19	7	8	0	0	0	0	0	6	2
b1_M_L_s1end_heuristic	10	rec_b1_M_L_s1end_heuristic.jsonl	-1.0	18	4	9	7	3	3	7	7	7	5
b1_M_L_s1end_heuristic	11	rec_b1_M_L_s1end_heuristic.jsonl	1.0	14	5	7	4	2	2	4	4	3	2
b1_M_L_s1end_heuristic	12	rec_b1_M_L_s1end_heuristic.jsonl	-1.0	16	6	8	1	1	1	1	1	5	3
b1_M_L_s1end_heuristic	13	rec_b1_M_L_s1end_heuristic.jsonl	-1.0	9	4	4	0	0	0	0	0	2	2
b1_M_L_s1end_heuristic	14	rec_b1_M_L_s1end_heuristic.jsonl	-1.0	20	6	10	6	4	4	6	6	7	5
b1_M_L_s1end_heuristic	15	rec_b1_M_L_s1end_heuristic.jsonl	1.0	12	6	6	4	4	4	4	4	0	0
b1_M_L_s1end_heuristic	16	rec_b1_M_L_s1end_heuristic.jsonl	1.0	11	4	6	5	3	3	5	5	2	0
b1_M_L_s1end_heuristic	17	rec_b1_M_L_s1end_heuristic.jsonl	1.0	12	4	6	5	3	3	5	5	2	2
b1_M_L_s1end_heuristic	18	rec_b1_M_L_s1end_heuristic.jsonl	-1.0	20	7	10	7	5	5	7	7	5	4
b1_M_L_s1end_heuristic	19	rec_b1_M_L_s1end_heuristic.jsonl	-1.0	19	8	9	5	4	4	5	5	5	2
b1_M_L_s1end_heuristic	20	rec_b1_M_L_s1end_heuristic.jsonl	-1.0	16	5	8	6	3	3	6	6	4	2
b1_M_L_s1end_heuristic	21	rec_b1_M_L_s1end_heuristic.jsonl	1.0	16	6	8	3	1	1	3	3	3	1
b1_M_L_s1end_heuristic	22	rec_b1_M_L_s1end_heuristic.jsonl	1.0	13	7	7	6	6	6	6	6	0	0
b1_M_L_s1end_heuristic	23	rec_b1_M_L_s1end_heuristic.jsonl	-1.0	15	5	7	1	1	1	1	1	7	6
b1_M_L_s1end_heuristic	24	rec_b1_M_L_s1end_heuristic.jsonl	1.0	11	4	6	5	3	3	5	5	0	0
b1_M_L_s1end_heuristic	25	rec_b1_M_L_s1end_heuristic.jsonl	-1.0	17	3	8	4	2	2	4	4	7	5
b1_M_L_s1end_heuristic	26	rec_b1_M_L_s1end_heuristic.jsonl	1.0	15	6	8	6	4	4	6	6	3	2
b1_M_L_s1end_heuristic	27	rec_b1_M_L_s1end_heuristic.jsonl	1.0	18	7	9	3	2	2	3	3	4	4
b1_M_L_s1end_heuristic	28	rec_b1_M_L_s1end_heuristic.jsonl	-1.0	18	5	9	1	0	0	1	1	4	2
b1_M_L_s1end_heuristic	29	rec_b1_M_L_s1end_heuristic.jsonl	-1.0	13	6	6	0	0	0	0	0	4	3
b1_M_L_s1end_heuristic	30	rec_b1_M_L_s1end_heuristic.jsonl	-1.0	10	5	5	0	0	0	0	0	3	2
b1_M_L_s1end_heuristic	31	rec_b1_M_L_s1end_heuristic.jsonl	1.0	12	6	6	4	4	4	4	4	0	0
b1_M_L_s1end_heuristic	32	rec_b1_M_L_s1end_heuristic.jsonl	1.0	17	6	9	7	4	4	7	7	3	3
b1_M_L_s1end_heuristic	33	rec_b1_M_L_s1end_heuristic.jsonl	-1.0	13	6	6	0	0	0	0	0	2	1
b1_M_L_s1end_heuristic	34	rec_b1_M_L_s1end_heuristic.jsonl	-1.0	16	6	8	7	5	5	7	7	4	3
b1_M_L_s1end_heuristic	35	rec_b1_M_L_s1end_heuristic.jsonl	-1.0	13	5	6	4	3	3	4	4	1	0
b1_M_L_s1end_heuristic	36	rec_b1_M_L_s1end_heuristic.jsonl	1.0	11	5	6	3	2	2	3	3	0	0
b1_M_L_s1end_heuristic	37	rec_b1_M_L_s1end_heuristic.jsonl	-1.0	13	6	6	1	1	1	1	1	5	5
b1_M_L_s1end_heuristic	38	rec_b1_M_L_s1end_heuristic.jsonl	1.0	13	5	7	6	4	4	6	6	3	3
b1_M_L_s1end_heuristic	39	rec_b1_M_L_s1end_heuristic.jsonl	-1.0	15	6	7	6	5	5	6	6	5	3
b1_M_L_s1end_heuristic	40	rec_b1_M_L_s1end_heuristic.jsonl	-1.0	14	5	7	5	3	3	5	5	3	3
b1_M_L_s1end_heuristic	41	rec_b1_M_L_s1end_heuristic.jsonl	-1.0	21	7	10	4	1	1	4	4	9	5
b1_M_L_s1end_heuristic	42	rec_b1_M_L_s1end_heuristic.jsonl	-1.0	16	7	8	7	6	6	7	7	2	1
b1_M_L_s1end_heuristic	43	rec_b1_M_L_s1end_heuristic.jsonl	-1.0	17	4	8	3	0	0	3	3	4	2
b1_M_L_s1end_heuristic	44	rec_b1_M_L_s1end_heuristic.jsonl	-1.0	14	4	7	5	2	2	5	5	3	2
b1_M_L_s1end_heuristic	45	rec_b1_M_L_s1end_heuristic.jsonl	-1.0	13	4	6	0	0	0	0	0	3	3
b1_M_L_s1end_heuristic	46	rec_b1_M_L_s1end_heuristic.jsonl	-1.0	16	5	8	2	0	0	2	2	4	2
b1_M_L_s1end_heuristic	47	rec_b1_M_L_s1end_heuristic.jsonl	-1.0	21	6	10	0	0	0	0	0	7	2
b1_M_L_s1end_heuristic	48	rec_b1_M_L_s1end_heuristic.jsonl	1.0	21	7	11	10	6	6	10	10	0	0
b1_M_L_s1end_heuristic	49	rec_b1_M_L_s1end_heuristic.jsonl	-1.0	17	5	8	1	1	1	1	1	5	4
