set	game	file	r	turns	lands	own_turns	attack_turns	precombat_drops_on_attack_turns	drops_on_attack_turns	lf_can_turns	lf_attack_turns	blk_pairs	blk_small
drill_M_L_n019_t05632	0	rec_drill_M_L_n019_t05632.jsonl	-1.0	14	5	7	5	3	3	5	5	4	3
drill_M_L_n019_t05632	1	rec_drill_M_L_n019_t05632.jsonl	-1.0	15	7	7	5	5	5	5	5	2	2
drill_M_L_n019_t05632	2	rec_drill_M_L_n019_t05632.jsonl	-1.0	18	8	9	0	0	0	0	0	7	2
drill_M_L_n019_t05632	3	rec_drill_M_L_n019_t05632.jsonl	-1.0	15	4	7	5	3	3	5	5	3	2
drill_M_L_n019_t05632	4	rec_drill_M_L_n019_t05632.jsonl	1.0	13	7	7	5	5	5	5	5	2	0
drill_M_L_n019_t05632	5	rec_drill_M_L_n019_t05632.jsonl	1.0	16	4	8	7	3	3	7	7	3	0
drill_M_L_n019_t05632	6	rec_drill_M_L_n019_t05632.jsonl	-1.0	10	2	5	4	1	1	4	4	2	2
drill_M_L_n019_t05632	7	rec_drill_M_L_n019_t05632.jsonl	-1.0	21	7	10	4	1	1	4	4	7	7
drill_M_L_n019_t05632	8	rec_drill_M_L_n019_t05632.jsonl	-1.0	14	4	7	5	3	3	5	5	2	2
drill_M_L_n019_t05632	9	rec_drill_M_L_n019_t05632.jsonl	-1.0	15	7	7	3	3	3	3	3	3	1
drill_M_L_n019_t05632	10	rec_drill_M_L_n019_t05632.jsonl	1.0	9	3	5	4	2	2	4	4	1	1
drill_M_L_n019_t05632	11	rec_drill_M_L_n019_t05632.jsonl	-1.0	19	5	9	1	0	0	1	1	4	4
drill_M_L_n019_t05632	12	rec_drill_M_L_n019_t05632.jsonl	-1.0	14	6	7	2	2	2	2	2	2	0
drill_M_L_n019_t05632	13	rec_drill_M_L_n019_t05632.jsonl	-1.0	9	4	4	2	2	2	2	2	1	1
drill_M_L_n019_t05632	14	rec_drill_M_L_n019_t05632.jsonl	1.0	11	6	6	5	5	5	5	5	1	0
drill_M_L_n019_t05632	15	rec_drill_M_L_n019_t05632.jsonl	1.0	12	6	6	4	4	4	4	4	0	0
drill_M_L_n019_t05632	16	rec_drill_M_L_n019_t05632.jsonl	-1.0	16	6	8	6	4	4	6	6	4	2
drill_M_L_n019_t05632	17	rec_drill_M_L_n019_t05632.jsonl	1.0	12	4	6	5	3	3	5	5	0	0
drill_M_L_n019_t05632	18	rec_drill_M_L_n019_t05632.jsonl	-1.0	16	5	8	7	4	4	7	7	2	2
drill_M_L_n019_t05632	19	rec_drill_M_L_n019_t05632.jsonl	1.0	12	6	6	4	4	4	4	4	3	2
drill_M_L_n019_t05632	20	rec_drill_M_L_n019_t05632.jsonl	-1.0	16	5	8	6	3	3	6	6	3	0
drill_M_L_n019_t05632	21	rec_drill_M_L_n019_t05632.jsonl	-1.0	11	5	5	0	0	0	0	0	2	0
drill_M_L_n019_t05632	22	rec_drill_M_L_n019_t05632.jsonl	1.0	15	8	8	7	7	7	7	7	0	0
drill_M_L_n019_t05632	23	rec_drill_M_L_n019_t05632.jsonl	-1.0	15	5	7	2	2	2	2	2	6	4
drill_M_L_n019_t05632	24	rec_drill_M_L_n019_t05632.jsonl	1.0	11	4	6	5	3	3	5	5	0	0
drill_M_L_n019_t05632	25	rec_drill_M_L_n019_t05632.jsonl	-1.0	17	3	8	4	2	2	4	4	7	4
drill_M_L_n019_t05632	26	rec_drill_M_L_n019_t05632.jsonl	-1.0	16	6	8	6	4	4	6	6	4	4
drill_M_L_n019_t05632	27	rec_drill_M_L_n019_t05632.jsonl	1.0	12	5	6	4	3	3	4	4	1	1
drill_M_L_n019_t05632	28	rec_drill_M_L_n019_t05632.jsonl	1.0	19	6	10	4	1	1	4	4	5	4
drill_M_L_n019_t05632	29	rec_drill_M_L_n019_t05632.jsonl	-1.0	11	5	5	3	3	3	3	3	3	2
drill_M_L_n019_t05632	30	rec_drill_M_L_n019_t05632.jsonl	-1.0	10	5	5	3	3	3	3	3	2	2
drill_M_L_n019_t05632	31	rec_drill_M_L_n019_t05632.jsonl	1.0	12	6	6	4	4	4	4	4	0	0
drill_M_L_n019_t05632	32	rec_drill_M_L_n019_t05632.jsonl	1.0	15	6	8	6	4	4	6	6	1	1
drill_M_L_n019_t05632	33	rec_drill_M_L_n019_t05632.jsonl	-1.0	13	6	6	0	0	0	0	0	2	0
drill_M_L_n019_t05632	34	rec_drill_M_L_n019_t05632.jsonl	-1.0	14	6	7	6	5	5	6	6	4	3
drill_M_L_n019_t05632	35	rec_drill_M_L_n019_t05632.jsonl	1.0	14	4	7	5	2	2	5	5	3	2
drill_M_L_n019_t05632	36	rec_drill_M_L_n019_t05632.jsonl	1.0	13	5	7	4	2	2	4	4	0	0
drill_M_L_n019_t05632	37	rec_drill_M_L_n019_t05632.jsonl	-1.0	13	6	6	2	2	2	2	2	4	4
drill_M_L_n019_t05632	38	rec_drill_M_L_n019_t05632.jsonl	1.0	11	5	6	5	4	4	5	5	0	0
drill_M_L_n019_t05632	39	rec_drill_M_L_n019_t05632.jsonl	-1.0	17	6	8	6	5	5	6	6	5	2
drill_M_L_n019_t05632	40	rec_drill_M_L_n019_t05632.jsonl	1.0	11	5	6	4	3	3	4	4	1	1
drill_M_L_n019_t05632	41	rec_drill_M_L_n019_t05632.jsonl	-1.0	21	7	10	7	5	5	7	7	9	4
drill_M_L_n019_t05632	42	rec_drill_M_L_n019_t05632.jsonl	1.0	13	7	7	6	6	6	6	6	1	0
drill_M_L_n019_t05632	43	rec_drill_M_L_n019_t05632.jsonl	-1.0	17	4	8	6	2	2	6	6	5	3
drill_M_L_n019_t05632	44	rec_drill_M_L_n019_t05632.jsonl	-1.0	14	4	7	5	2	2	5	5	2	1
drill_M_L_n019_t05632	45	rec_drill_M_L_n019_t05632.jsonl	-1.0	11	3	5	0	0	0	0	0	2	1
drill_M_L_n019_t05632	46	rec_drill_M_L_n019_t05632.jsonl	-1.0	16	5	8	6	3	3	6	6	3	1
drill_M_L_n019_t05632	47	rec_drill_M_L_n019_t05632.jsonl	-1.0	21	7	10	3	3	3	3	3	6	1
drill_M_L_n019_t05632	48	rec_drill_M_L_n019_t05632.jsonl	1.0	21	7	11	10	6	6	10	10	0	0
drill_M_L_n019_t05632	49	rec_drill_M_L_n019_t05632.jsonl	-1.0	15	4	7	5	2	2	5	5	2	1
