set	game	file	r	turns	lands	own_turns	attack_turns	precombat_drops_on_attack_turns	drops_on_attack_turns	lf_can_turns	lf_attack_turns	blk_pairs	blk_small
drill_M_L_p2048_cp7	0	rec_drill_M_L_p2048_cp7.jsonl	-1.0	14	6	7	2	2	2	2	2	2	2
drill_M_L_p2048_cp7	1	rec_drill_M_L_p2048_cp7.jsonl	1.0	16	7	8	6	5	5	6	6	0	0
drill_M_L_p2048_cp7	2	rec_drill_M_L_p2048_cp7.jsonl	-1.0	12	6	6	4	4	4	4	4	0	0
drill_M_L_p2048_cp7	3	rec_drill_M_L_p2048_cp7.jsonl	-1.0	9	1	4	0	0	0	0	0	0	0
drill_M_L_p2048_cp7	4	rec_drill_M_L_p2048_cp7.jsonl	-1.0	16	5	8	5	2	2	5	5	3	2
drill_M_L_p2048_cp7	5	rec_drill_M_L_p2048_cp7.jsonl	-1.0	13	6	6	4	4	4	4	4	3	2
drill_M_L_p2048_cp7	6	rec_drill_M_L_p2048_cp7.jsonl	-1.0	28	7	14	10	4	4	10	10	5	4
drill_M_L_p2048_cp7	7	rec_drill_M_L_p2048_cp7.jsonl	-1.0	17	4	8	7	3	3	7	7	3	3
drill_M_L_p2048_cp7	8	rec_drill_M_L_p2048_cp7.jsonl	-1.0	10	5	5	0	0	0	0	0	1	1
drill_M_L_p2048_cp7	9	rec_drill_M_L_p2048_cp7.jsonl	-1.0	11	2	5	3	1	1	3	3	2	2
drill_M_L_p2048_cp7	10	rec_drill_M_L_p2048_cp7.jsonl	1.0	9	5	5	4	4	4	4	4	0	0
drill_M_L_p2048_cp7	11	rec_drill_M_L_p2048_cp7.jsonl	1.0	14	6	7	6	5	5	6	6	3	3
drill_M_L_p2048_cp7	12	rec_drill_M_L_p2048_cp7.jsonl	-1.0	18	8	9	7	6	6	7	7	2	1
drill_M_L_p2048_cp7	13	rec_drill_M_L_p2048_cp7.jsonl	-1.0	13	6	6	4	4	4	4	4	3	3
drill_M_L_p2048_cp7	14	rec_drill_M_L_p2048_cp7.jsonl	-1.0	12	4	6	4	2	2	4	4	1	0
drill_M_L_p2048_cp7	15	rec_drill_M_L_p2048_cp7.jsonl	-1.0	11	3	5	2	1	1	2	2	3	3
drill_M_L_p2048_cp7	16	rec_drill_M_L_p2048_cp7.jsonl	-1.0	16	5	8	6	3	3	6	6	0	0
drill_M_L_p2048_cp7	17	rec_drill_M_L_p2048_cp7.jsonl	-1.0	9	4	4	2	2	2	2	2	1	1
drill_M_L_p2048_cp7	18	rec_drill_M_L_p2048_cp7.jsonl	-1.0	12	5	6	3	2	2	3	3	0	0
drill_M_L_p2048_cp7	19	rec_drill_M_L_p2048_cp7.jsonl	-1.0	13	4	6	4	2	2	4	4	5	5
drill_M_L_p2048_cp7	20	rec_drill_M_L_p2048_cp7.jsonl	-1.0	12	4	6	3	1	1	3	3	0	0
drill_M_L_p2048_cp7	21	rec_drill_M_L_p2048_cp7.jsonl	-1.0	13	5	6	1	0	0	1	1	2	2
drill_M_L_p2048_cp7	22	rec_drill_M_L_p2048_cp7.jsonl	-1.0	10	5	5	3	3	3	3	3	0	0
drill_M_L_p2048_cp7	23	rec_drill_M_L_p2048_cp7.jsonl	-1.0	11	5	5	3	3	3	3	3	1	1
drill_M_L_p2048_cp7	24	rec_drill_M_L_p2048_cp7.jsonl	-1.0	12	6	6	4	4	4	4	4	0	0
