n	time_utc	hour	main	trained_before	trained_after	opp_kind	episodes	wins	losses	draws	stalls	win_rate	job_errors	snapshot	wall_s	rc
0	2026-09-14T23:35:51Z	1.197	M_D	6400	6656	cp7	256	43	213	0	0	0.1680	0	M_D_06656.pt	1249	0
1	2026-09-14T23:51:01Z	1.450	M_D	6656	6912	heuristic	256	123	132	1	1	0.4805	0	M_D_06912.pt	503	0
2	2026-09-15T00:18:44Z	1.912	M_D	6912	7168	cp7	256	40	216	0	0	0.1562	0	M_D_07168.pt	1389	0
3	2026-09-15T00:47:25Z	2.390	M_D	7168	7424	cp7	256	35	221	0	0	0.1367	0	M_D_07424.pt	1422	0
4	2026-09-15T01:37:01Z	3.217	M_D	7424	7680	cp7	256	42	214	0	0	0.1641	0	M_D_07680.pt	1379	0
5	2026-09-15T01:52:12Z	3.469	M_D	7680	7936	heuristic	256	155	101	0	0	0.6055	0	M_D_07936.pt	579	0
6	2026-09-15T02:20:44Z	3.945	M_D	7936	8192	cp7	256	41	215	0	0	0.1602	0	M_D_08192.pt	1365	0
7	2026-09-15T02:49:14Z	4.420	M_D	8192	8448	cp7	256	45	211	0	0	0.1758	0	M_D_08448.pt	1348	0
8	2026-09-15T03:40:26Z	5.273	M_D	8448	8704	cp7	256	49	207	0	0	0.1914	0	M_D_08704.pt	1419	0
9	2026-09-15T03:54:19Z	5.505	M_D	8704	8960	heuristic	256	147	109	0	0	0.5742	0	M_D_08960.pt	552	0
10	2026-09-15T04:24:26Z	6.007	M_D	8960	9216	cp7	256	43	213	0	0	0.1680	0	M_D_09216.pt	1417	0
11	2026-09-15T04:53:28Z	6.491	M_D	9216	9472	cp7	256	26	230	0	0	0.1016	0	M_D_09472.pt	1412	0
12	2026-09-15T05:49:35Z	7.426	M_D	9472	9728	cp7	256	48	208	0	0	0.1875	0	M_D_09728.pt	1477	0
13	2026-09-15T06:06:35Z	7.709	M_D	9728	9984	heuristic	256	163	93	0	0	0.6367	0	M_D_09984.pt	594	0
14	2026-09-15T06:37:09Z	8.219	M_D	9984	10240	cp7	256	49	207	0	0	0.1914	0	M_D_10240.pt	1457	0
15	2026-09-15T07:09:43Z	8.762	M_D	10240	10496	cp7	256	63	193	0	0	0.2461	0	M_D_10496.pt	1546	0
16	2026-09-15T08:02:04Z	9.634	M_D	10496	10752	cp7	256	61	195	0	0	0.2383	0	M_D_10752.pt	1526	0
17	2026-09-15T08:19:15Z	9.920	M_D	10752	11008	heuristic	256	172	84	0	0	0.6719	0	M_D_11008.pt	715	0
18	2026-09-15T08:51:15Z	10.454	M_D	11008	11264	cp7	256	60	196	0	0	0.2344	0	M_D_11264.pt	1662	0
19	2026-09-15T09:25:31Z	11.025	M_D	11264	11520	cp7	256	51	205	0	0	0.1992	0	M_D_11520.pt	1592	0
20	2026-09-15T10:19:20Z	11.922	M_D	11520	11776	cp7	256	53	203	0	0	0.2070	0	M_D_11776.pt	1566	0
