ability_id,occurrences,card,has_activated_nonmana,n_activated_nonmana,n_triggered,found
1268,1210,"Glimmerlight",1,1,1,1
174356,903,"Glimmer",,,,0
174533,789,"Oblivious Bookworm",0,0,1,1
166736,713,"Wary Watchdog",0,0,1,1
174437,692,"Most Valuable Slayer",0,0,1,1
174349,618,"Stalked Researcher",0,0,1,1
64584,546,"Patchwork Beastie",0,0,1,1
140062,533,"Spineseeker Centipede",0,0,1,1
174287,480,"Optimistic Scavenger",0,0,1,1
174430,460,"Glassworks // Shattered Yard",0,0,0,1
174517,456,"Gremlin Tamer",0,0,1,1
174429,451,"Glassworks",0,0,0,1
174306,425,"Trapped in the Screen",0,0,2,1
174435,364,"Irreverent Gremlin",0,0,1,1
174497,361,"Threats Around Every Corner",0,0,2,1
174346,359,"Scrabbling Skullcrab",0,0,1,1
174420,347,"Clockwork Percussionist",0,0,1,1
174417,340,"Chainsaw",1,1,2,1
174458,310,"Vicious Clown",0,0,1,1
174546,308,"Smoky Lounge // Misty Salon",0,0,0,1
174442,299,"Painter's Studio // Defaced Gallery",0,0,0,1
174282,296,"Grand Entryway // Elegant Rotunda",0,0,0,1
174445,285,"Razorkin Hordecaller",0,0,1,1
143859,284,"Surgical Suite // Hospital Room",0,0,0,1
174323,281,"Entity Tracker",0,0,1,1
174364,270,"Unwilling Vessel",0,0,2,1
174324,268,"Erratic Apparition",0,0,1,1
174451,267,"Ticket Booth",0,0,0,1
174472,251,"Flesh Burrower",0,0,1,1
152741,246,"Floodpits Drowner",1,1,1,1
174276,242,"Fear of Immobility",0,0,1,1
174469,236,"Cryptid Inspector",0,0,1,1
174559,231,"Ghost Vacuum",1,2,0,1
174344,222,"Paranormal Analyst",0,0,1,1
143643,221,"Bottomless Pool // Locker Room",0,0,0,1
174265,221,"Cult Healer",0,0,1,1
174452,217,"Ticket Booth // Tunnel of Hate",0,0,0,1
174397,214,"Osseous Sticktwister",0,0,1,1
89789,213,"Stay Hidden, Stay Silent",1,1,1,1
174301,208,"Splitskin Doll",0,0,1,1
174367,199,"Balemurk Leech",0,0,1,1
121357,194,"Broodspinner",1,1,1,1
174438,187,"Norin, Swift Survivalist",0,0,1,1
174540,187,"Roaring Furnace // Steaming Sauna",0,0,0,1
140075,182,"Enduring Curiosity",0,0,2,1
174545,180,"Skullsnap Nuisance",0,0,1,1
174277,180,"Friendly Ghost",0,0,1,1
20997,177,"Sheltered by Ghosts",0,0,1,1
174395,175,"Nowhere to Run",0,0,1,1
176695,175,"Turn Inside Out",0,0,0,1
174283,174,"Hardened Escort",0,0,1,1
174404,171,"Unholy Annex // Ritual Chamber",0,0,0,1
174311,171,"Veteran Survivor",0,0,1,1
93266,165,"Grasping Longneck",0,0,1,1
174382,165,"Fear of Lost Teeth",0,0,1,1
174447,161,"Razorkin Needlehead",0,0,1,1
174285,161,"Lionheart Glimmer",0,0,2,1
174375,158,"Horror",,,,0
174480,155,"Insidious Fungus",1,1,0,1
174381,152,"Fanatic of the Harrowing",0,0,1,1
174264,149,"Acrobatic Cheerleader",0,0,1,1
174544,147,"Shroudstomper",0,0,1,1
174507,143,"Arabella, Abandoned Doll",0,0,1,1
174403,143,"Sporogenic Infection",0,0,2,1
174401,142,"Popular Egotist",1,1,1,1
174425,140,"Fear of Burning Alive",0,0,2,1
174513,140,"Disturbing Mirth",0,0,2,1
174478,137,"House Cartographer",0,0,1,1
174432,136,"Hand That Feeds",0,0,1,1
174443,131,"Ragged Playmate",1,1,0,1
174288,130,"Orphans of the Wheat",0,0,1,1
174424,128,"Enduring Courage",0,0,2,1
174487,128,"Omnivorous Flytrap",0,0,1,1
174280,126,"Glimmer Seeker",0,0,1,1
174548,121,"The Swarmweaver",0,0,1,1
146583,117,"Enduring Innocence",0,0,2,1
174518,117,"Growing Dread",0,0,2,1
174426,116,"Fear of Burning Alive",0,0,2,1
174348,115,"Silent Hallcreeper",0,0,1,1
2792,114,"Conductive Machete",1,1,1,1
174554,110,"Primo, the Indivisible",,,,0
174325,100,"Fear of Falling",0,0,1,1
174492,99,"Rootwise Survivor",0,0,1,1
174521,97,"The Jolly Balloon Man",1,1,0,1
174394,97,"Miasma Demon",0,0,1,1
174332,96,"Ghostly Keybearer",0,0,1,1
149382,95,"Overlord of the Floodpits",0,0,2,1
174509,95,"Baseball Bat",1,1,2,1
174279,94,"Ghostly Dancers",0,0,2,1
174365,93,"Unwilling Vessel",0,0,2,1
174378,93,"Derelict Attic // Widow's Walk",0,0,0,1
174467,91,"Cautious Survivor",0,0,1,1
174506,90,"Wickerfolk Thresher",0,0,1,1
174400,90,"Popular Egotist",1,1,1,1
174547,86,"Spirit",,,,0
174470,85,"Defiant Survivor",0,0,1,1
174293,85,"Reluctant Role Model",0,0,2,1
174427,84,"Fear of Missing Out",0,0,2,1
174379,84,"Derelict Attic // Widow's Walk",0,0,0,1
174542,83,"Sawblade Skinripper",1,1,1,1
174411,83,"Vile Mutilator",0,0,1,1
174539,82,"Roaring Furnace // Steaming Sauna",0,0,0,1
18661,81,"Dissection Tools",1,1,1,1
174268,81,"Dollmaker's Shop // Porcelain Gallery",0,0,0,1
174541,80,"Sawblade Skinripper",1,1,1,1
174416,80,"Chainsaw",1,1,2,1
174374,79,"Dashing Bloodsucker",0,0,1,1
174398,78,"Overlord of the Balemurk",0,0,2,1
174307,77,"Unidentified Hovership",1,1,2,1
174564,77,"Malevolent Chandelier",1,1,0,1
174318,77,"Central Elevator // Promising Stairs",0,0,0,1
174289,76,"Overlord of the Mistmoors",0,0,2,1
176358,75,"The Jolly Balloon Man",1,1,0,1
174463,75,"Anthropede",0,0,1,1
174405,74,"Unholy Annex // Ritual Chamber",0,0,0,1
174373,73,"Cynical Loner",0,0,1,1
174415,73,"Boilerbilges Ripper",0,0,1,1
174407,70,"Unstoppable Slasher",0,0,2,1
174304,69,"Toby, Beastie Befriender",0,0,1,1
174498,69,"Twitching Doll",1,1,0,1
174576,69,"Miasma Demon",0,0,1,1
174326,68,"Fear of Impostors",0,0,1,1
174315,68,"Abhorrent Oculus",0,0,1,1
174274,68,"Fear of Abduction",0,0,2,1
174402,67,"Resurrected Cultist",1,1,0,1
174278,67,"Ghostly Dancers",0,0,2,1
