ability_id,occurrences,card,coverage,lift,accepted,is_basic_land,runner_up,runner_up_coverage
1268,1210,Glimmerlight,0.9992,8.89,1,0,Glimmer,0.7545
174356,903,Glimmer,0.9867,5.49,1,0,Tunnel Surveyor,0.4695
174533,789,Oblivious Bookworm,1.0,20.22,1,0,Forest,0.9823
166736,713,Wary Watchdog,0.9986,16.15,1,0,Forest,0.9719
174437,692,Most Valuable Slayer,0.9899,17.2,1,0,Mountain,0.9841
121394,653,,0.7825,15.49,0,0,Appendage Amalgam,0.2297
174309,651,,0.4685,10.37,0,0,Threats Around Every Corner,0.2888
174349,618,Stalked Researcher,1.0,26.18,1,0,Island,0.9919
88024,576,,0.7604,21.99,0,0,Forest,0.4861
64584,546,Patchwork Beastie,0.9982,28.21,1,0,Forest,0.9963
1005,539,Forest,1.0,2.25,1,1,Monstrous Emergence,0.269
140062,533,Spineseeker Centipede,0.9981,13.19,1,0,Forest,0.9906
174320,500,,0.394,9.73,0,0,Cursed Windbreaker,0.342
174287,480,Optimistic Scavenger,1.0,32.7,1,0,Plains,0.9771
174430,460,Glassworks // Shattered Yard,1.0,11.1,1,0,Shattered Yard,0.0739
174517,456,Gremlin Tamer,1.0,39.6,1,0,Gremlin,0.9912
174429,451,Glassworks,0.9601,46.73,1,0,Glassworks // Shattered Yard,0.9911
174306,425,Trapped in the Screen,1.0,12.55,1,0,Plains,0.9741
174361,407,,0.8108,51.82,0,0,Underwater Tunnel // Slimy Aquarium,1.0
174387,399,,0.6391,16.13,0,0,Bashful Beastie,0.381
174337,388,,0.8943,54.35,0,0,Meat Locker // Drowned Diner,0.9974
1002,372,Island,0.9973,2.12,1,1,Glimmerburst,0.1774
174435,364,Irreverent Gremlin,1.0,31.95,1,0,Mountain,0.9588
174497,361,Threats Around Every Corner,1.0,29.28,1,0,Forest,0.9972
1004,360,Mountain,0.9972,2.28,1,1,Grab the Prize,0.1056
174346,359,Scrabbling Skullcrab,1.0,52.3,1,0,Island,0.9944
174281,351,,0.8746,60.69,0,0,Grand Entryway // Elegant Rotunda,0.9943
174420,347,Clockwork Percussionist,0.9971,17.54,1,0,Mountain,0.9885
174417,340,Chainsaw,0.9971,49.91,1,0,Mountain,0.9471
1003,334,Swamp,1.0,2.71,1,1,Final Vengeance,0.2365
174362,330,,0.3303,63.14,0,0,Underwater Tunnel // Slimy Aquarium,1.0
174458,310,Vicious Clown,0.9968,36.58,1,0,Mountain,0.9645
174546,308,Smoky Lounge // Misty Salon,0.9968,49.2,1,0,Spirit,0.4805
174442,299,Painter's Studio // Defaced Gallery,1.0,29.66,1,0,Defaced Gallery,0.2074
174282,296,Grand Entryway // Elegant Rotunda,1.0,14.03,1,0,Elegant Rotunda,0.2568
174445,285,Razorkin Hordecaller,0.9965,33.96,1,0,Gremlin,0.9754
143859,284,Surgical Suite // Hospital Room,1.0,31.91,1,0,Hospital Room,0.1444
174323,281,Entity Tracker,0.9929,66.91,1,0,Island,0.9964
174364,270,Unwilling Vessel,1.0,45.71,1,0,Island,0.9852
174324,268,Erratic Apparition,1.0,52.43,1,0,Island,0.9776
174451,267,Ticket Booth,0.9401,79.06,1,0,Ticket Booth // Tunnel of Hate,0.9963
1001,255,Plains,1.0,2.2,1,1,Glimmer,0.3529
174472,251,Flesh Burrower,0.996,25.17,1,0,Forest,0.992
152741,246,Floodpits Drowner,0.9919,26.67,1,0,Island,0.9715
174276,242,Fear of Immobility,0.9959,27.23,1,0,Plains,0.9876
174469,236,Cryptid Inspector,1.0,33.48,1,0,Forest,1.0
174559,231,Ghost Vacuum,1.0,47.57,1,0,Swamp,0.5238
174483,230,,0.8522,90.49,0,0,Moldering Gym // Weight Room,1.0
174338,225,,0.2933,92.05,0,0,Meat Locker // Drowned Diner,0.9911
174344,222,Paranormal Analyst,1.0,31.67,1,0,Island,0.982
143643,221,Bottomless Pool // Locker Room,1.0,21.41,1,0,Locker Room,0.1403
174265,221,Cult Healer,1.0,50.42,1,0,Plains,0.991
174316,218,,0.8716,96.96,0,0,Bottomless Pool // Locker Room,0.9908
174452,217,Ticket Booth // Tunnel of Hate,0.9954,18.36,1,0,Tunnel of Hate,0.0922
174397,214,Osseous Sticktwister,1.0,42.48,1,0,Swamp,0.972
89789,213,"Stay Hidden, Stay Silent",1.0,25.99,1,0,Island,0.9859
174301,208,Splitskin Doll,1.0,34.75,1,0,Plains,0.9904
174484,203,,0.3645,103.58,0,0,Moldering Gym // Weight Room,1.0
1156,200,,0.525,26.28,0,0,Baseball Bat,0.175
174367,199,Balemurk Leech,1.0,61.48,1,0,Swamp,0.9749
121357,194,Broodspinner,0.9948,34.8,1,0,Swamp,0.9588
174438,187,"Norin, Swift Survivalist",0.9947,52.28,1,0,Mountain,1.0
174540,187,Roaring Furnace // Steaming Sauna,1.0,50.91,1,0,Steaming Sauna,0.139
76556,184,,0.5652,36.34,0,0,Hedge Shredder,0.4076
140075,182,Enduring Curiosity,1.0,68.27,1,0,Island,1.0
174545,180,Skullsnap Nuisance,1.0,89.47,1,0,Fear of Infinity,0.25
174277,180,Friendly Ghost,1.0,34.3,1,0,Plains,1.0
20997,177,Sheltered by Ghosts,1.0,35.64,1,0,Plains,0.9831
174395,175,Nowhere to Run,1.0,27.74,1,0,Swamp,0.9486
176695,175,Turn Inside Out,1.0,31.24,1,0,Mountain,0.9886
174283,174,Hardened Escort,0.9885,48.11,1,0,Plains,0.9828
174404,171,Unholy Annex // Ritual Chamber,0.9942,60.24,1,0,Demon,0.4444
174311,171,Veteran Survivor,1.0,52.43,1,0,Plains,0.9825
93266,165,Grasping Longneck,0.9818,32.82,1,0,Forest,0.9515
174382,165,Fear of Lost Teeth,1.0,33.7,1,0,Swamp,1.0
174447,161,Razorkin Needlehead,1.0,74.56,1,0,Mountain,0.9752
174285,161,Lionheart Glimmer,1.0,68.71,1,0,Plains,0.9876
174375,158,Horror,0.9873,79.85,1,0,Defiled Crypt // Cadaver Lab,0.9937
174480,155,Insidious Fungus,1.0,40.28,1,0,Forest,0.9871
174381,152,Fanatic of the Harrowing,1.0,47.04,1,0,Swamp,0.9737
174264,149,Acrobatic Cheerleader,1.0,29.53,1,0,Plains,0.9799
174441,147,,0.6463,143.03,0,0,Painter's Studio // Defaced Gallery,0.9864
174544,147,Shroudstomper,1.0,74.04,1,0,Neglected Manor,0.2449
116851,144,,0.8403,57.74,0,0,Piggy Bank,1.0
174507,143,"Arabella, Abandoned Doll",0.993,55.38,1,0,Mountain,0.979
174403,143,Sporogenic Infection,1.0,50.79,1,0,Swamp,0.972
174401,142,Popular Egotist,0.9718,54.06,1,0,Swamp,1.0
174425,140,Fear of Burning Alive,1.0,34.58,1,0,Mountain,0.9857
174513,140,Disturbing Mirth,1.0,49.82,1,0,Swamp,1.0
174478,137,House Cartographer,1.0,53.77,1,0,Forest,0.9927
174432,136,Hand That Feeds,0.9853,28.19,1,0,Mountain,1.0
141939,135,,0.3778,13.46,0,0,Lionheart Glimmer,0.2667
174443,131,Ragged Playmate,1.0,30.04,1,0,Mountain,0.9695
174288,130,Orphans of the Wheat,0.9923,70.97,1,0,Plains,0.9692
174424,128,Enduring Courage,1.0,96.01,1,0,Mountain,0.9688
174487,128,Omnivorous Flytrap,0.9922,75.31,1,0,Forest,0.9844
174280,126,Glimmer Seeker,0.9762,54.3,1,0,Glimmer,0.9524
