game,first_mismatch_turn,first_fail_turn,first_fail_seat,first_fail_kind,first_fail_why,n_fails
0,7,9,U,ATTACK,no_attacker_absent,3
1,5,,,,,0
2,9,9,U,LAND,not_in_hand,10
3,3,8,U,DRAW,not_in_library_graveyard,11
4,5,5,O,CAST,not_playable,3
5,4,10,U,DRAW,not_in_library_battlefield,10
6,6,8,U,LAND,not_in_hand,42
7,8,8,O,ATTACK,no_attacker_absent,16
8,9,9,O,SWAP,not_in_library_graveyard,2
9,9,9,U,DRAW,not_in_library_graveyard,11
10,4,8,U,DRAW,not_in_library_hand,19
11,7,12,O,SWAP,no_spare_hand_grew,13
12,6,7,O,SWAP,not_in_library_missing,4
13,4,9,U,LAND,not_in_hand,16
14,7,9,U,ATTACK,no_attacker_absent,21
15,6,7,O,SWAP,not_in_library_missing,17
16,7,7,U,DRAW,not_in_library_graveyard,20
17,8,8,O,CASTI,not_playable,20
18,6,6,U,LAND,not_in_hand,14
19,10,15,O,SWAP,no_spare_hand_grew,10
20,3,5,U,ATTACK,no_attacker_absent,3
21,3,8,O,CAST,activate_failed,12
22,3,5,U,DRAW,not_in_library_graveyard,13
23,7,9,U,CAST,not_in_hand,14
24,6,8,O,SWAP,not_in_library_graveyard,8
25,5,7,U,LAND,not_in_hand,28
26,5,5,U,DRAW,not_in_library_graveyard,14
27,5,5,O,CAST,not_playable,9
28,7,10,O,ATTACK,no_attacker_tapped,14
29,8,11,O,SWAP,not_in_library_graveyard,12
30,5,7,U,LAND,not_in_hand,5
31,7,9,O,SWAP,not_in_library_missing,6
32,6,6,U,DRAW,not_in_library_graveyard,6
33,5,6,O,CASTI,not_playable,13
34,8,8,U,ATTACK,no_attacker_tapped,3
35,4,5,U,LAND,not_in_hand,17
36,6,13,O,SWAP,not_in_library_battlefield,7
37,8,10,U,DRAW,not_in_library_graveyard,25
38,8,10,U,DRAW,not_in_library_hand,8
39,8,9,U,LAND,not_in_hand,3
40,5,9,U,DRAW,not_in_library_graveyard,28
41,4,5,U,DRAW,not_in_library_battlefield,27
42,8,9,O,ATTACK,no_attacker_absent,6
43,9,18,U,LAND,not_in_hand,6
44,8,16,O,CAST,activate_failed,7
45,11,12,O,CAST,not_playable,15
46,7,,,,,0
47,10,12,U,DRAW,not_in_library_battlefield,9
48,7,9,U,CAST,not_in_hand,8
49,4,4,O,BLOCK,no_blocker,21
50,4,11,U,ATTACK,no_attacker_absent,8
51,7,10,O,CAST,not_playable,8
52,4,5,U,CAST,not_playable,8
53,7,11,U,DRAW,not_in_library_graveyard,5
54,7,7,O,BLOCK,no_blocker,1
55,8,9,O,SWAP,not_in_library_graveyard,6
56,6,8,O,CASTI,not_playable,6
57,9,9,O,BLOCK,no_blocker,7
58,10,10,U,CAST,not_in_hand,27
59,4,5,U,BLOCK,no_blocker,16
60,4,5,U,LAND,not_in_hand,29
61,8,8,O,SWAP,not_in_library_graveyard,14
62,7,10,U,DRAW,not_in_library_graveyard,11
63,17,19,U,ATTACK,no_attacker_absent,13
64,10,10,O,BLOCK,no_blocker,1
65,5,9,O,ATTACK,no_attacker_absent,12
66,7,9,U,CAST,not_in_hand,14
67,11,12,O,SWAP,not_in_library_graveyard,15
68,6,8,U,LAND,not_in_hand,9
69,7,8,U,ATTACK,no_attacker_absent,16
70,5,7,U,CAST,not_playable,19
71,7,4,O,CASTI,not_playable,6
72,5,5,O,CAST,not_playable,8
73,6,6,U,DRAW,not_in_library_graveyard,11
74,5,7,U,ATTACK,no_attacker_tapped,21
75,4,6,U,DRAW,not_in_library_battlefield,11
76,6,7,O,BLOCK,no_blocker,10
77,9,13,U,ATTACK,no_attacker_absent,10
78,8,8,O,CAST,not_playable,11
79,10,10,O,CAST,activate_failed,8
80,6,11,U,CAST,not_in_hand,11
81,5,5,U,DRAW,not_in_library_graveyard,9
82,4,,,,,0
83,7,7,U,ATTACK,no_attacker_tapped,11
84,4,10,U,CAST,not_in_hand,4
85,5,7,O,SWAP,not_in_library_battlefield,21
86,5,6,O,CASTI,not_playable,25
87,5,7,U,ATTACK,no_attacker_absent,18
88,4,4,U,DRAW,not_in_library_graveyard,21
89,5,5,U,CAST,not_playable,12
90,8,19,U,LAND,not_in_hand,5
91,11,12,O,ATTACK,no_attacker_tapped,5
92,5,5,U,DRAW,not_in_library_graveyard,25
93,13,15,U,CAST,not_in_hand,27
94,6,8,O,ATTACK,no_attacker_absent,5
95,7,12,O,CAST,activate_failed,7
96,9,10,O,SWAP,not_in_library_missing,3
97,10,11,U,DRAW,not_in_library_battlefield,7
98,5,6,U,DRAW,not_in_library_graveyard,16
99,5,6,U,BLOCK,no_blocker,19
100,4,8,U,DRAW,not_in_library_graveyard,12
101,9,3,O,SWAP,not_in_library_missing,5
102,6,7,U,LAND,not_in_hand,7
103,4,11,O,SWAP,not_in_library_missing,10
104,9,9,U,LAND,not_in_hand,13
105,4,4,U,CAST,not_in_hand,12
106,6,10,U,ATTACK,no_attacker_absent,7
107,9,9,O,ATTACK,no_attacker_absent,4
108,6,7,O,SWAP,not_in_library_missing,7
109,5,7,U,DRAW,not_in_library_battlefield,10
110,7,9,U,ATTACK,no_attacker_absent,4
111,5,7,U,ATTACK,no_attacker_absent,13
112,8,8,U,LAND,not_in_hand,11
113,9,9,U,DRAW,not_in_library_graveyard,6
114,1,1,U,LAND,not_in_hand,15
115,8,9,U,DRAW,not_in_library_hand,6
116,8,12,O,CAST,not_playable,2
117,6,8,U,DRAW,not_in_library_graveyard,17
118,8,8,U,CAST,not_in_hand,7
119,3,9,O,ATTACK,no_attacker_absent,1
120,5,14,O,SWAP,not_in_library_graveyard,8
121,4,8,U,BLOCK,no_blocker,6
122,9,9,U,CAST,not_playable,1
123,5,5,U,DRAW,not_in_library_hand,11
124,5,5,O,CAST,activate_failed,18
125,7,7,U,DRAW,not_in_library_graveyard,3
126,5,11,U,DRAW,not_in_library_battlefield,18
127,6,6,O,CAST,activate_failed,22
128,4,4,O,CAST,not_playable,7
129,5,5,O,CAST,not_playable,1
130,4,6,U,DRAW,not_in_library_graveyard,10
131,10,10,O,SWAP,not_in_library_battlefield,14
132,7,9,U,CAST,not_in_hand,30
133,13,14,U,BLOCK,no_blocker,4
134,3,5,U,DRAW,not_in_library_hand,13
135,6,8,U,DRAW,not_in_library_hand,23
136,6,9,O,SWAP,not_in_library_graveyard,15
137,7,7,U,DRAW,not_in_library_graveyard,7
138,9,9,O,SWAP,not_in_library_graveyard,5
139,4,5,U,LAND,not_in_hand,15
140,6,6,U,CAST,activate_failed,19
141,7,11,U,BLOCK,no_blocker,18
142,4,5,U,LAND,not_in_hand,15
143,12,9,O,LAND,not_playable,22
144,10,10,O,ATTACK,no_attacker_absent,23
145,5,6,U,BLOCK,no_blocker,25
146,6,7,O,ATTACK,no_attacker_absent,11
147,6,8,O,SWAP,not_in_library_graveyard,14
148,7,6,O,SWAP,not_in_library_missing,9
149,6,8,U,DRAW,not_in_library_graveyard,27
150,9,11,U,DRAW,not_in_library_battlefield,41
151,8,8,O,BLOCK,no_blocker,22
152,6,6,O,CAST,activate_failed,27
153,5,8,U,BLOCK,no_blocker,13
154,6,6,U,DRAW,not_in_library_graveyard,17
155,3,8,U,BLOCK,no_blocker,17
156,6,7,U,ATTACK,no_attacker_absent,18
157,3,5,U,CAST,not_in_hand,14
158,6,11,U,DRAW,not_in_library_graveyard,40
