game,first_mismatch_turn,first_fail_turn,first_fail_seat,first_fail_kind,first_fail_why,n_fails
10,4,8,U,DRAW,not_in_library_hand,19
19,10,15,O,SWAP,no_spare_hand_grew,8
36,6,13,O,SWAP,not_in_library_battlefield,7
39,8,9,U,LAND,not_in_hand,3
42,8,9,O,ATTACK,no_attacker_absent,6
55,8,9,O,SWAP,not_in_library_graveyard,6
100,4,8,U,DRAW,not_in_library_graveyard,12
101,9,3,O,SWAP,not_in_library_missing,5
102,6,7,U,LAND,not_in_hand,7
103,4,11,O,SWAP,not_in_library_missing,10
105,4,4,U,CAST,not_in_hand,12
110,7,9,U,ATTACK,no_attacker_absent,4
119,3,9,O,ATTACK,no_attacker_absent,1
127,6,6,O,CAST,activate_failed,22
131,10,10,O,SWAP,not_in_library_battlefield,14
141,7,11,U,BLOCK,no_blocker,18
153,5,8,U,BLOCK,no_blocker,9
167,6,6,U,DRAW,not_in_library_graveyard,27
174,8,5,O,SWAP,not_in_library_missing,5
190,6,6,O,CAST,activate_failed,25
192,5,8,U,BLOCK,no_blocker,7
225,6,8,U,ATTACK,no_attacker_absent,8
226,4,8,U,DRAW,not_in_library_graveyard,9
239,7,9,O,SWAP,not_in_library_graveyard,8
252,5,7,U,DRAW,not_in_library_graveyard,13
265,5,11,U,LAND,not_in_hand,9
281,4,6,U,DRAW,not_in_library_hand,8
283,5,7,U,DRAW,not_in_library_hand,8
286,10,10,U,DRAW,not_in_library_graveyard,5
290,9,13,O,BLOCK,no_blocker,3
308,4,8,U,CAST,not_in_hand,13
309,6,6,O,BLOCK,no_blocker,15
330,5,5,U,ATTACK,no_attacker_tapped,10
334,7,7,O,SWAP,not_in_library_graveyard,7
349,4,4,O,CAST,not_playable,13
357,3,5,U,ATTACK,no_attacker_absent,8
375,5,6,O,CASTI,not_playable,1
394,5,5,O,BLOCK,no_blocker,8
400,9,12,O,CAST,not_playable,9
402,5,5,U,DRAW,not_in_library_graveyard,30
406,5,14,O,SWAP,not_in_library_graveyard,2
430,12,14,U,DRAW,not_in_library_hand,15
434,8,9,U,CAST,activate_failed,11
437,3,7,U,DRAW,not_in_library_hand,10
460,5,5,U,LAND,not_in_hand,5
489,5,10,U,LAND,not_in_hand,21
495,8,8,U,CAST,activate_failed,14
