game,cause
0,field_oppo_life
1,field_user_life
2,forced_LAND_not_in_hand
3,field_oppo_hand
4,forced_CAST_not_playable
5,ability_logged
6,hidden_choice
7,forced_ATTACK_no_attacker_absent
8,forced_SWAP_not_in_library_graveyard
9,forced_DRAW_not_in_library_graveyard
10,ability_logged
11,ability_logged
12,hidden_choice
13,ability_logged
14,ability_logged
15,hidden_choice
16,forced_DRAW_not_in_library_graveyard
17,ability_logged
18,forced_LAND_not_in_hand
19,hidden_choice
20,hidden_choice
21,ability_logged
22,hidden_choice
23,ability_logged
24,field_user_life
25,hidden_choice
26,forced_DRAW_not_in_library_graveyard
27,forced_CAST_not_playable
28,ability_logged
29,field_oppo_life
30,field_user_creatures
31,field_user_life
32,forced_DRAW_not_in_library_graveyard
33,field_user_life
34,forced_ATTACK_no_attacker_tapped
35,ability_logged
36,hidden_choice
37,forced_SWAP_not_in_library_battlefield
38,ability_logged
39,field_user_life
40,hidden_choice
41,ability_logged
42,hidden_choice
43,field_user_creatures
44,field_user_creatures
45,field_oppo_life
46,field_user_noncreatures
47,hidden_choice
48,field_oppo_life
49,forced_BLOCK_no_blocker
50,field_user_life
51,field_oppo_life
52,ability_logged
53,ability_logged
54,forced_BLOCK_no_blocker
55,ability_logged
56,ability_logged
57,forced_BLOCK_no_blocker
58,forced_CAST_not_in_hand
59,hidden_choice
60,ability_logged
61,forced_SWAP_not_in_library_graveyard
62,field_user_life
63,ability_logged
64,forced_BLOCK_no_blocker
65,field_user_creatures
66,field_user_hand
67,ability_logged
68,field_user_hand
69,field_user_creatures
70,hidden_choice
71,ability_logged
72,forced_CAST_not_playable
73,forced_DRAW_not_in_library_graveyard
74,hidden_choice
75,hidden_choice
76,field_user_life
77,field_oppo_life
78,forced_CAST_not_playable
79,forced_CAST_activate_failed
80,field_user_creatures
81,forced_DRAW_not_in_library_graveyard
82,field_user_hand
83,forced_ATTACK_no_attacker_tapped
84,ability_logged
85,ability_logged
86,ability_logged
87,hidden_choice
88,forced_DRAW_not_in_library_graveyard
89,forced_CAST_not_playable
90,field_user_creatures
91,ability_logged
92,forced_DRAW_not_in_library_graveyard
93,field_user_hand
94,forced_CAST_not_playable
95,ability_logged
96,hidden_choice
97,hidden_choice
98,ability_logged
99,hidden_choice
100,field_oppo_life
101,field_user_life
102,ability_logged
103,ability_logged
104,forced_LAND_not_in_hand
105,forced_CAST_not_in_hand
106,hidden_choice
107,forced_ATTACK_no_attacker_absent
108,hidden_choice
109,hidden_choice
110,field_oppo_life
111,field_oppo_life
112,forced_LAND_not_in_hand
113,forced_DRAW_not_in_library_graveyard
114,forced_LAND_not_in_hand
115,field_user_hand
116,field_user_life
117,ability_logged
118,forced_CAST_not_in_hand
119,field_user_life
120,ability_logged
121,field_user_life
123,forced_DRAW_not_in_library_hand
124,forced_CAST_activate_failed
125,forced_DRAW_not_in_library_graveyard
126,hidden_choice
127,forced_CAST_activate_failed
128,forced_CAST_not_playable
129,forced_CAST_not_playable
130,field_user_hand
131,forced_SWAP_not_in_library_battlefield
132,field_user_creatures
133,ability_logged
134,ability_logged
135,ability_logged
136,field_user_creatures
137,forced_DRAW_not_in_library_graveyard
138,forced_SWAP_not_in_library_graveyard
139,ability_logged
140,forced_CAST_activate_failed
141,field_user_life
142,ability_logged
143,forced_SWAP_not_in_library_missing
144,forced_ATTACK_no_attacker_absent
145,ability_logged
146,hidden_choice
147,field_user_life
148,forced_SWAP_not_in_library_missing
149,hidden_choice
150,field_user_creatures
151,forced_BLOCK_no_blocker
152,forced_CAST_activate_failed
153,hidden_choice
154,forced_DRAW_not_in_library_graveyard
155,ability_logged
156,field_user_creatures
157,field_user_hand
158,field_user_creatures
159,forced_SWAP_not_in_library_graveyard
160,ability_logged
161,ability_logged
162,field_user_life
163,hidden_choice
164,forced_LAND_not_in_hand
165,forced_DRAW_not_in_library_graveyard
166,forced_CAST_activate_failed
167,forced_DRAW_not_in_library_graveyard
168,hidden_choice
169,hidden_choice
170,ability_logged
171,field_user_life
172,forced_CAST_not_playable
173,ability_logged
174,forced_CAST_not_playable
175,forced_DRAW_not_in_library_graveyard
176,field_user_hand
177,ability_logged
178,hidden_choice
179,field_user_noncreatures
180,ability_logged
181,forced_BLOCK_no_blocker
182,hidden_choice
183,field_user_creatures
184,field_user_life
185,field_oppo_life
186,forced_ATTACK_no_attacker_sick_or_cannot
187,field_user_life
188,hidden_choice
189,field_user_creatures
190,forced_CAST_activate_failed
191,hidden_choice
192,hidden_choice
193,ability_logged
194,hidden_choice
195,ability_logged
