game,cause
10,ability_logged
19,hidden_choice
36,hidden_choice
39,field_user_life
42,hidden_choice
55,ability_logged
100,field_oppo_life
101,field_user_life
102,ability_logged
103,ability_logged
105,forced_CAST_not_in_hand
110,field_oppo_life
119,field_user_life
127,forced_CAST_activate_failed
131,forced_SWAP_not_in_library_battlefield
141,field_user_life
153,hidden_choice
167,forced_DRAW_not_in_library_graveyard
174,forced_CAST_not_playable
190,forced_CAST_activate_failed
192,hidden_choice
225,field_oppo_life
226,hidden_choice
239,field_user_creatures
252,forced_CAST_not_playable
265,ability_logged
281,ability_logged
283,hidden_choice
286,forced_DRAW_not_in_library_graveyard
290,ability_logged
308,ability_logged
309,forced_BLOCK_no_blocker
330,forced_ATTACK_no_attacker_tapped
334,forced_SWAP_not_in_library_graveyard
349,forced_CAST_not_playable
357,hidden_choice
375,ability_logged
394,forced_BLOCK_no_blocker
400,ability_logged
402,forced_DRAW_not_in_library_graveyard
406,field_oppo_life
430,ability_logged
434,ability_logged
437,field_user_hand
460,forced_LAND_not_in_hand
489,field_user_life
495,forced_CAST_activate_failed
509,ability_logged
512,ability_logged
513,field_user_life
514,ability_logged
516,ability_logged
528,hidden_choice
543,field_oppo_life
547,ability_logged
558,hidden_choice
564,field_user_creatures
569,ability_logged
593,ability_logged
604,field_user_life
621,hidden_choice
624,ability_logged
629,field_user_hand
633,hidden_choice
634,field_user_hand
638,ability_logged
646,forced_DRAW_not_in_library_graveyard
647,forced_DRAW_not_in_library_graveyard
650,forced_LAND_not_in_hand
653,field_oppo_life
677,forced_LAND_not_in_hand
680,forced_CAST_not_playable
686,field_user_hand
688,ability_logged
712,forced_CAST_not_playable
726,forced_SWAP_not_in_library_graveyard
736,hidden_choice
748,hidden_choice
762,hidden_choice
767,hidden_choice
786,ability_logged
801,ability_logged
822,forced_SWAP_not_in_library_graveyard
825,field_user_life
826,forced_LAND_not_in_hand
830,hidden_choice
836,field_oppo_life
839,field_oppo_life
848,ability_logged
858,forced_CAST_activate_failed
859,ability_logged
886,field_oppo_life
956,ability_logged
970,hidden_choice
977,forced_LAND_not_in_hand
983,forced_CAST_not_playable
993,field_user_creatures
996,forced_SWAP_no_spare_hand_grew
1027,field_user_life
1036,forced_CAST_not_playable
1038,hidden_choice
1069,hidden_choice
1075,ability_logged
1079,ability_logged
1090,hidden_choice
1091,field_user_life
1099,field_user_creatures
1105,ability_logged
1106,field_user_creatures
1110,forced_CAST_activate_failed
1112,ability_logged
1128,forced_DRAW_not_in_library_graveyard
1133,field_user_creatures
1137,forced_DRAW_not_in_library_graveyard
1140,ability_logged
1144,forced_CAST_not_in_hand
1155,hidden_choice
1170,forced_CAST_not_playable
1177,field_user_life
1179,ability_logged
1184,field_user_life
1187,ability_logged
1208,forced_DRAW_not_in_library_graveyard
1228,forced_ATTACK_no_attacker_absent
1236,ability_logged
1271,field_oppo_life
1296,ability_logged
1303,ability_logged
1308,ability_logged
1311,ability_logged
1346,ability_logged
1348,forced_CAST_not_playable
1354,field_oppo_life
1397,forced_DRAW_not_in_library_graveyard
1401,hidden_choice
1404,field_user_life
1415,ability_logged
1442,hidden_choice
1444,ability_logged
1445,hidden_choice
1464,field_user_life
1465,field_user_noncreatures
1483,hidden_choice
1484,field_user_life
1492,field_oppo_life
1498,field_user_life
1513,forced_CAST_not_in_hand
1525,field_user_creatures
1528,field_user_hand
1530,ability_logged
1532,ability_logged
1540,field_oppo_hand
1542,forced_SWAP_not_in_library_graveyard
1568,field_oppo_life
1578,ability_logged
1585,hidden_choice
1602,forced_DRAW_not_in_library_graveyard
1610,hidden_choice
1621,field_user_creatures
1641,field_user_creatures
1642,ability_logged
1643,ability_logged
1648,forced_ATTACK_no_attacker_absent
1652,forced_DRAW_not_in_library_graveyard
1660,hidden_choice
1663,ability_logged
1664,ability_logged
1665,forced_LAND_not_in_hand
1669,forced_CAST_not_in_hand
1672,forced_CAST_activate_failed
1697,forced_SWAP_not_in_library_missing
1718,ability_logged
1724,forced_LAND_not_in_hand
1733,ability_logged
1758,ability_logged
1760,forced_ATTACK_no_attacker_tapped
1777,field_user_hand
1792,hidden_choice
1807,field_user_life
1818,forced_BLOCK_no_blocker
1822,hidden_choice
1836,forced_CAST_activate_failed
1846,field_oppo_life
1858,hidden_choice
1861,field_oppo_life
1863,forced_CAST_not_playable
1877,ability_logged
1879,field_user_life
1884,field_user_life
1896,field_user_life
1924,field_user_life
1935,hidden_choice
1948,field_user_hand
1956,forced_LAND_not_in_hand
1960,hidden_choice
1961,hidden_choice
1965,ability_logged
1967,forced_CAST_not_in_hand
1993,field_user_creatures
