game,user_deck_covered,opp_logged_covered,both_covered,deck_distinct,deck_cards,user_missing,opp_missing
0,1,1,1,22,40,,
1,1,1,1,24,40,,
2,1,1,1,21,40,,
3,1,1,1,21,41,,
4,1,1,1,23,40,,
5,1,1,1,24,40,,
6,1,1,1,21,40,,
7,1,1,1,27,40,,
8,1,1,1,19,40,,
9,1,1,1,22,40,,
10,1,1,1,23,40,,
11,1,1,1,22,40,,
12,1,1,1,28,40,,
13,1,1,1,25,40,,
14,1,1,1,22,40,,
15,1,1,1,25,40,,
16,1,1,1,22,40,,
17,1,1,1,19,40,,
18,1,1,1,23,41,,
19,1,1,1,20,40,,
20,1,1,1,19,40,,
21,1,1,1,26,40,,
22,1,1,1,23,40,,
23,1,1,1,21,40,,
24,1,1,1,20,40,,
25,1,1,1,27,40,,
26,1,1,1,21,40,,
27,1,1,1,21,40,,
28,1,1,1,22,40,,
29,1,1,1,23,40,,
30,1,1,1,26,40,,
31,1,1,1,25,40,,
32,1,1,1,21,40,,
33,1,1,1,22,40,,
34,1,1,1,25,40,,
35,1,1,1,27,40,,
36,1,1,1,19,40,,
37,1,1,1,22,40,,
38,1,1,1,23,40,,
39,1,1,1,20,40,,
40,1,1,1,30,40,,
41,1,1,1,25,40,,
42,1,1,1,21,40,,
43,1,1,1,22,40,,
44,1,1,1,20,40,,
45,1,1,1,21,40,,
46,1,1,1,25,40,,
47,1,1,1,25,40,,
48,1,1,1,21,40,,
49,1,1,1,21,40,,
50,1,1,1,23,46,,
51,1,1,1,22,40,,
52,1,1,1,22,40,,
53,1,1,1,24,40,,
54,1,1,1,20,40,,
55,1,1,1,24,40,,
56,1,1,1,23,40,,
57,1,1,1,21,40,,
58,1,1,1,22,42,,
59,1,1,1,21,40,,
60,1,1,1,21,40,,
61,1,1,1,26,40,,
62,1,1,1,22,40,,
63,1,1,1,20,40,,
64,1,1,1,20,40,,
65,1,1,1,25,40,,
66,1,1,1,22,40,,
67,1,1,1,27,40,,
68,1,1,1,25,40,,
69,1,1,1,24,40,,
70,1,1,1,27,40,,
71,1,1,1,25,40,,
72,1,1,1,27,40,,
73,1,1,1,23,40,,
74,1,1,1,24,40,,
75,1,1,1,20,40,,
76,1,1,1,22,40,,
77,1,1,1,21,40,,
78,1,1,1,19,40,,
79,1,1,1,29,40,,
80,1,1,1,24,40,,
81,1,1,1,31,40,,
82,1,1,1,22,40,,
83,1,1,1,20,40,,
84,1,1,1,20,40,,
85,1,1,1,22,40,,
86,1,1,1,26,41,,
87,1,1,1,22,40,,
88,1,1,1,22,41,,
89,1,1,1,21,42,,
90,1,1,1,26,40,,
91,1,1,1,21,40,,
92,1,1,1,21,40,,
93,1,1,1,25,40,,
94,1,1,1,20,40,,
95,1,1,1,23,40,,
96,1,1,1,24,40,,
97,1,1,1,22,40,,
98,1,1,1,21,40,,
99,1,1,1,20,40,,
100,1,1,1,22,40,,
101,1,1,1,21,40,,
102,1,1,1,23,40,,
103,1,1,1,23,40,,
104,1,1,1,28,40,,
105,1,1,1,20,40,,
106,1,1,1,19,40,,
107,1,1,1,21,40,,
108,1,1,1,24,40,,
109,1,1,1,22,40,,
110,1,1,1,23,40,,
111,1,1,1,21,40,,
112,1,1,1,21,40,,
113,1,1,1,24,40,,
114,1,1,1,22,40,,
115,1,1,1,23,40,,
116,1,1,1,20,40,,
117,1,1,1,21,40,,
118,1,1,1,23,40,,
119,1,1,1,22,40,,
120,1,1,1,24,40,,
121,1,1,1,23,40,,
122,1,1,1,23,40,,
123,1,1,1,26,40,,
124,1,1,1,22,40,,
125,1,1,1,21,40,,
126,1,1,1,22,40,,
127,1,1,1,20,40,,
128,1,1,1,22,40,,
129,1,1,1,21,40,,
130,1,1,1,20,40,,
131,1,1,1,24,40,,
132,1,1,1,26,41,,
133,1,1,1,24,40,,
134,1,1,1,24,41,,
135,1,1,1,22,40,,
136,1,1,1,21,40,,
137,1,1,1,23,40,,
138,1,1,1,20,40,,
139,1,1,1,21,40,,
140,1,1,1,25,40,,
141,1,1,1,22,40,,
142,1,1,1,25,40,,
143,1,1,1,21,40,,
144,1,1,1,27,40,,
145,1,1,1,25,40,,
146,1,1,1,27,40,,
147,1,1,1,18,40,,
148,1,1,1,22,40,,
149,1,1,1,25,40,,
150,1,1,1,21,40,,
151,1,1,1,28,40,,
152,1,1,1,30,40,,
153,1,1,1,24,40,,
154,1,1,1,22,40,,
155,1,1,1,25,40,,
156,1,1,1,20,40,,
157,1,1,1,26,40,,
158,1,1,1,23,40,,
159,1,1,1,22,40,,
160,1,1,1,17,40,,
161,1,1,1,18,40,,
162,1,1,1,24,40,,
163,1,1,1,27,40,,
164,1,1,1,26,40,,
165,1,1,1,22,40,,
166,1,1,1,21,40,,
167,1,1,1,23,40,,
168,1,1,1,23,40,,
169,1,1,1,21,40,,
170,1,1,1,20,40,,
171,1,1,1,21,40,,
172,1,1,1,26,40,,
173,1,1,1,24,40,,
174,1,1,1,23,40,,
175,1,1,1,24,40,,
176,1,1,1,19,40,,
177,1,1,1,28,40,,
178,1,1,1,22,40,,
179,1,1,1,19,40,,
180,1,1,1,26,40,,
181,1,1,1,19,40,,
182,1,1,1,20,40,,
183,1,1,1,24,41,,
184,1,1,1,20,41,,
185,1,1,1,20,40,,
186,1,1,1,22,40,,
187,1,1,1,23,40,,
188,1,1,1,18,40,,
189,1,1,1,21,40,,
190,1,1,1,21,40,,
191,1,1,1,22,40,,
192,1,1,1,27,40,,
193,1,1,1,25,40,,
194,1,1,1,20,40,,
195,1,1,1,20,40,,
196,1,1,1,25,40,,
197,1,1,1,25,40,,
198,1,1,1,19,40,,
199,1,1,1,19,40,,
200,1,1,1,19,40,,
201,1,1,1,19,40,,
202,1,1,1,22,40,,
203,1,1,1,19,40,,
204,1,1,1,25,40,,
205,1,1,1,30,40,,
206,1,1,1,19,40,,
207,1,1,1,23,40,,
208,1,1,1,24,40,,
209,1,1,1,25,40,,
210,1,1,1,21,40,,
211,1,1,1,20,40,,
212,1,1,1,23,40,,
213,1,1,1,19,40,,
214,1,1,1,23,40,,
215,1,1,1,21,40,,
216,1,1,1,20,40,,
217,1,1,1,25,40,,
218,1,1,1,22,40,,
219,1,1,1,20,40,,
220,1,1,1,20,41,,
221,1,1,1,27,40,,
222,1,1,1,25,40,,
223,1,1,1,23,40,,
224,1,1,1,28,40,,
225,1,1,1,28,40,,
226,1,1,1,23,40,,
227,1,1,1,23,40,,
228,1,1,1,25,40,,
229,1,1,1,23,40,,
230,1,1,1,24,40,,
231,1,1,1,23,40,,
232,1,1,1,23,40,,
233,1,1,1,25,40,,
234,1,1,1,26,40,,
235,1,1,1,21,40,,
236,1,1,1,21,40,,
237,1,1,1,24,40,,
238,1,1,1,21,40,,
239,1,1,1,24,40,,
240,1,1,1,24,40,,
241,1,1,1,22,40,,
242,1,1,1,22,40,,
243,1,1,1,25,40,,
244,1,1,1,26,40,,
245,1,1,1,21,40,,
246,1,1,1,23,40,,
247,1,1,1,28,40,,
248,1,1,1,23,41,,
249,1,1,1,23,40,,
250,1,1,1,21,40,,
251,1,1,1,22,41,,
252,1,1,1,23,40,,
253,1,1,1,24,40,,
254,1,1,1,27,40,,
255,1,1,1,21,40,,
256,1,1,1,22,45,,
257,1,1,1,22,40,,
258,1,1,1,26,40,,
259,1,1,1,27,40,,
260,1,1,1,23,40,,
261,1,1,1,20,40,,
262,1,1,1,24,40,,
263,1,1,1,21,40,,
264,1,1,1,27,40,,
265,1,1,1,21,40,,
266,1,1,1,20,40,,
267,1,1,1,20,40,,
268,1,1,1,22,40,,
269,1,1,1,19,40,,
270,1,1,1,25,40,,
271,1,1,1,23,40,,
272,1,1,1,24,40,,
273,1,1,1,23,40,,
274,1,1,1,23,40,,
275,1,1,1,17,40,,
276,1,1,1,18,40,,
277,1,1,1,20,40,,
278,1,1,1,21,40,,
279,1,1,1,23,40,,
280,1,1,1,18,40,,
281,1,1,1,22,40,,
282,1,1,1,19,40,,
283,1,1,1,21,40,,
284,1,1,1,22,40,,
285,1,1,1,18,40,,
286,1,1,1,22,40,,
287,1,1,1,22,40,,
288,1,1,1,18,40,,
289,1,1,1,27,40,,
290,1,1,1,26,40,,
291,1,1,1,22,41,,
292,1,1,1,28,40,,
293,1,1,1,23,41,,
294,1,1,1,20,40,,
295,1,1,1,22,40,,
296,1,1,1,25,40,,
297,1,1,1,25,40,,
298,1,1,1,21,40,,
299,1,1,1,24,40,,
300,1,1,1,24,40,,
301,1,1,1,21,40,,
302,1,1,1,21,40,,
