game,covered,turns_logged,turns_matched,first_mismatch_field,first_mismatch_side_turn,mismatch_fields,mismatch_detail,ambiguous_order_turns,ambiguous_order_turns_matched,targeted_spells,targeted_spells_matched,labels_land,labels_spell,labels_attack,labels_block,unamb_land,unamb_spell,unamb_attack,unamb_block,forced_fails_before_mismatch,engine_status,ms
0,1,6,3,oppo_life,user_4,oppo_life user_creatures,oppo_life: log=8 engine=5 ; user_creatures: log_only=['ripchain razorkin'] engine_only=['wildfire wickerfolk'],4,2,1,0,3,2,4,0,1,0,4,0,0,ok,1185
1,1,6,2,user_life,oppo_3,user_life,user_life: log=17 engine=16,2,1,1,0,2,1,0,0,1,0,0,0,0,ok,600
2,1,9,4,oppo_life,user_5,oppo_life user_lands user_creatures user_noncreatures user_hand,oppo_life: log=15 engine=20 ; user_lands: log_only=['forest'] engine_only=[] ; user_creatures: log_only=['hedge shredder'] engine_only=[] ; user_noncreatures: log_only=[] engine_only=['hedge shredder'] ; user_hand: log_only=[] engine_only=['forest'],5,2,1,1,4,3,0,1,2,0,0,1,1,ok,501
3,1,9,1,oppo_hand,oppo_2,oppo_hand,oppo_hand: log=6 engine=5,6,0,1,0,1,0,0,0,1,0,0,0,0,ok,517
4,1,8,2,oppo_hand,oppo_3,oppo_hand,oppo_hand: log=4 engine=5,6,1,0,0,2,1,0,0,1,0,0,0,1,ok,350
5,1,9,1,oppo_hand,user_2,oppo_hand,oppo_hand: log=6 engine=5,5,0,3,0,1,0,0,0,1,0,0,0,0,ok,624
6,1,12,2,user_hand,user_3,user_hand,user_hand: log_only=['forest'] engine_only=['mountain'],9,1,0,0,2,1,0,0,1,0,0,0,0,ok,848
7,1,7,3,user_life,oppo_4,user_life user_creatures,user_life: log=13 engine=16 ; user_creatures: log_only=['stalked researcher'] engine_only=['paranormal analyst'],4,2,0,0,3,3,2,0,1,1,2,0,1,ok,301
8,1,7,4,user_life,oppo_5,user_life oppo_hand,user_life: log=16 engine=17 ; oppo_hand: log=2 engine=3,2,2,1,1,2,4,1,0,0,2,1,0,2,ok,297
9,1,7,4,oppo_life,user_5,oppo_life user_lands user_creatures user_hand,"oppo_life: log=12 engine=16 ; user_lands: log_only=['swamp'] engine_only=[] ; user_creatures: log_only=['swamp'] engine_only=[] ; user_hand: log_only=[""winter's intervention""] engine_only=['mountain']",5,3,2,1,4,3,1,0,1,0,1,0,4,ok,281
