game,covered,turns_logged,turns_matched,first_mismatch_field,first_mismatch_side_turn,mismatch_fields,mismatch_detail,ambiguous_order_turns,ambiguous_order_turns_matched,targeted_spells,targeted_spells_matched,labels_land,labels_spell,labels_attack,labels_block,unamb_land,unamb_spell,unamb_attack,unamb_block,forced_fails_before_mismatch,engine_status,ms
0,1,6,3,oppo_life,user_4,oppo_life user_creatures,oppo_life: log=8 engine=5 ; user_creatures: log_only=['ripchain razorkin'] engine_only=['wildfire wickerfolk'],4,2,1,0,3,2,4,0,1,0,4,0,0,ok,1079
1,1,6,2,user_life,oppo_3,user_life,user_life: log=17 engine=16,2,1,1,0,2,1,0,0,1,0,0,0,0,ok,470
2,1,9,4,oppo_life,user_5,oppo_life user_lands user_creatures user_noncreatures user_hand,oppo_life: log=15 engine=20 ; user_lands: log_only=['forest'] engine_only=[] ; user_creatures: log_only=['hedge shredder'] engine_only=[] ; user_noncreatures: log_only=[] engine_only=['hedge shredder'] ; user_hand: log_only=[] engine_only=['forest'],5,2,2,1,4,3,0,1,2,0,0,1,1,ok,605
3,1,9,1,oppo_hand,oppo_2,oppo_hand,oppo_hand: log=6 engine=5,6,0,1,0,1,0,0,0,1,0,0,0,0,ok,638
4,1,8,2,oppo_hand,oppo_3,oppo_hand,oppo_hand: log=4 engine=5,6,1,0,0,2,1,0,0,1,0,0,0,1,ok,376
5,1,9,1,oppo_hand,user_2,oppo_hand,oppo_hand: log=6 engine=5,5,0,3,0,1,0,0,0,1,0,0,0,0,ok,614
6,1,12,3,user_creatures,user_4,user_creatures user_hand,user_creatures: log_only=['unnerving grasp'] engine_only=[] ; user_hand: log_only=['island'] engine_only=['spineseeker centipede'],9,2,1,0,3,2,0,0,1,0,0,0,1,ok,1409
7,1,7,3,user_creatures,oppo_4,user_creatures,user_creatures: log_only=['stalked researcher'] engine_only=['paranormal analyst'],4,2,0,0,3,3,2,0,1,1,2,0,0,ok,287
8,1,7,4,user_life,oppo_5,user_life oppo_hand,user_life: log=16 engine=17 ; oppo_hand: log=2 engine=3,2,2,1,1,2,4,1,0,0,2,1,0,2,ok,289
9,1,7,4,oppo_life,user_5,oppo_life user_lands user_creatures user_hand,"oppo_life: log=12 engine=16 ; user_lands: log_only=['swamp'] engine_only=[] ; user_creatures: log_only=['swamp'] engine_only=[] ; user_hand: log_only=[""winter's intervention""] engine_only=['mountain']",5,3,3,1,4,3,1,0,1,0,1,0,4,ok,284
10,1,7,1,user_hand,user_2,user_hand,user_hand: log_only=['fear of burning alive'] engine_only=['mountain'],6,1,0,0,1,1,0,0,0,0,0,0,0,ok,489
11,1,14,3,user_creatures,user_4,user_creatures,user_creatures: log_only=[] engine_only=['floodpits drowner'],6,0,5,1,3,1,0,0,3,0,0,0,0,ok,739
12,1,9,5,oppo_life,user_6,oppo_life,oppo_life: log=13 engine=14,7,4,1,0,5,4,2,1,1,0,2,1,1,ok,614
13,1,11,1,user_hand,oppo_2,user_hand,user_hand: log_only=['island'] engine_only=['daggermaw megalodon'],7,0,3,0,2,0,0,0,2,0,0,0,0,ok,550
14,1,13,3,user_life,oppo_4,user_life oppo_life,user_life: log=16 engine=17 ; oppo_life: log=24 engine=20,9,2,4,0,4,2,0,0,2,0,0,0,0,ok,621
15,1,10,3,user_hand,user_4,user_hand,user_hand: log_only=['cautious survivor'] engine_only=['plains'],5,2,2,0,3,2,0,1,1,0,0,1,1,ok,520
16,1,9,5,user_lands,user_6,user_lands user_hand,user_lands: log_only=['mountain'] engine_only=[] ; user_hand: log_only=[] engine_only=['mountain'],7,4,2,1,5,5,4,0,1,0,4,0,1,ok,284
17,1,19,3,oppo_life,user_4,oppo_life,oppo_life: log=18 engine=16,6,2,2,0,3,2,0,0,1,0,0,0,1,ok,708
18,1,8,2,user_lands,user_3,user_lands user_hand,user_lands: log_only=['forest'] engine_only=[] ; user_hand: log_only=[] engine_only=['slavering branchsnapper'],6,1,0,0,2,1,0,0,1,0,0,0,1,ok,340
19,1,11,6,user_noncreatures,user_7,user_noncreatures,user_noncreatures: log_only=['unable to scream'] engine_only=[],8,4,2,1,6,4,2,0,2,0,2,0,0,ok,582
20,1,5,3,oppo_life,user_4,oppo_life user_creatures,oppo_life: log=15 engine=16 ; user_creatures: log_only=['wildfire wickerfolk'] engine_only=[],5,3,2,0,3,3,3,0,0,0,3,0,1,ok,139
21,1,9,1,user_hand,user_2,user_hand,user_hand: log_only=['ticket booth'] engine_only=['island'],7,0,2,0,1,0,0,0,1,0,0,0,0,ok,376
22,1,6,2,user_lands,oppo_3,user_lands user_creatures,user_lands: log_only=['forest'] engine_only=[] ; user_creatures: log_only=[] engine_only=['lakeside shack'],3,2,0,0,3,2,3,0,1,0,3,0,0,ok,209
23,1,8,3,user_life,user_4,user_life oppo_life user_creatures user_noncreatures user_hand,user_life: log=21 engine=20 ; oppo_life: log=16 engine=17 ; user_creatures: log_only=['horror'] engine_only=[] ; user_noncreatures: log_only=[] engine_only=['treasure'] ; user_hand: log_only=['piggy bank'] engine_only=[],5,2,0,0,3,2,1,0,1,0,1,0,0,ok,424
24,1,8,2,user_life,oppo_3,user_life,user_life: log=18 engine=20,5,2,2,0,3,2,0,0,1,0,0,0,0,ok,363
25,1,9,3,user_creatures,user_4,user_creatures user_hand,user_creatures: log_only=['wary watchdog'] engine_only=[] ; user_hand: log_only=[] engine_only=['wary watchdog'],7,2,2,0,3,2,0,1,1,0,0,1,1,ok,423
26,1,10,5,user_creatures,user_6,user_creatures user_hand,user_creatures: log_only=['clockwork percussionist'] engine_only=[] ; user_hand: log_only=[] engine_only=['frantic strength'],6,3,5,1,4,4,2,0,1,0,2,0,1,ok,403
27,1,9,2,user_creatures,user_3,user_creatures user_noncreatures oppo_hand,"user_creatures: log_only=[] engine_only=[""killer's mask""] ; user_noncreatures: log_only=[] engine_only=[""killer's mask""] ; oppo_hand: log=6 engine=7",6,1,2,0,2,1,0,0,1,0,0,0,1,ok,316
28,1,10,3,user_life,user_4,user_life oppo_life,user_life: log=24 engine=23 ; oppo_life: log=13 engine=14,7,2,1,0,3,2,0,0,1,0,0,0,0,ok,367
29,1,9,3,oppo_life,user_4,oppo_life,oppo_life: log=15 engine=16,6,2,2,0,3,2,0,0,1,0,0,0,0,ok,474
30,1,5,2,user_creatures,user_3,user_creatures user_hand,user_creatures: log_only=['island'] engine_only=['underwater tunnel'] ; user_hand: log_only=['mountain'] engine_only=['terramorphic expanse'],3,0,0,0,2,0,0,0,2,0,0,0,0,ok,114
31,1,7,3,user_life,oppo_4,user_life,user_life: log=14 engine=16,3,1,1,0,3,1,0,0,2,0,0,0,0,ok,234
32,1,8,2,user_creatures,user_3,user_creatures,user_creatures: log_only=['plains'] engine_only=['flesh burrower'],5,1,1,0,2,1,0,0,1,0,0,0,0,ok,255
33,1,7,2,user_life,oppo_3,user_life,user_life: log=18 engine=19,5,2,1,0,2,2,0,0,0,0,0,0,0,ok,246
34,1,7,3,oppo_life,user_4,oppo_life,oppo_life: log=16 engine=18,4,2,0,0,3,2,1,0,1,0,1,0,1,ok,110
35,1,8,1,user_hand,oppo_2,user_hand,user_hand: log_only=['forest'] engine_only=['slavering branchsnapper'],5,0,1,0,2,0,0,0,2,0,0,0,0,ok,329
36,1,9,3,user_creatures,user_4,user_creatures,user_creatures: log_only=['manifest dread'] engine_only=[],5,2,5,1,3,2,0,0,1,0,0,0,0,ok,229
37,1,13,4,user_lands,user_5,user_lands user_noncreatures user_hand,user_lands: log_only=['island'] engine_only=[] ; user_noncreatures: log_only=['unable to scream'] engine_only=[] ; user_hand: log_only=['glimmerlight'] engine_only=['island'],6,3,3,1,4,3,1,0,1,0,1,0,2,ok,650
38,1,7,3,user_creatures,user_4,user_creatures,user_creatures: log_only=['forest'] engine_only=['midnight mayhem'],4,2,1,0,3,2,0,1,1,0,0,1,0,ok,162
39,1,7,3,user_life,oppo_4,user_life,user_life: log=16 engine=19,4,3,0,0,4,3,1,0,1,0,1,0,0,ok,341
40,1,13,4,user_life,oppo_5,user_life user_noncreatures,user_life: log=17 engine=19 ; user_noncreatures: log_only=['unable to scream'] engine_only=[],9,4,5,2,5,4,1,0,1,0,1,0,1,ok,564
41,1,11,1,user_creatures,oppo_2,user_creatures,user_creatures: log_only=['forest'] engine_only=['wary watchdog'],7,2,0,0,2,2,1,0,0,0,1,0,0,ok,538
