game,covered,turns_logged,turns_matched,first_mismatch_field,first_mismatch_side_turn,mismatch_fields,mismatch_detail,ambiguous_order_turns,ambiguous_order_turns_matched,targeted_spells,targeted_spells_matched,labels_land,labels_spell,labels_attack,labels_block,unamb_land,unamb_spell,unamb_attack,unamb_block,forced_fails_before_mismatch,engine_status,ms
10,1,7,1,user_hand,user_2,user_hand,user_hand: log_only=['fear of burning alive'] engine_only=['mountain'],6,1,0,0,1,1,0,0,0,0,0,0,2,ok,1694
19,1,11,4,user_creatures,user_5,user_creatures,user_creatures: log_only=['fear of falling'] engine_only=['plains'],8,2,2,0,4,2,0,0,2,0,0,0,1,ok,1142
36,1,9,2,user_lands,user_3,user_lands,user_lands: log_only=['forest'] engine_only=['island'],5,1,5,1,2,1,0,0,1,0,0,0,0,ok,524
39,1,7,3,user_life,oppo_4,user_life,user_life: log=16 engine=18,4,3,0,0,4,3,1,0,1,0,1,0,3,ok,398
42,1,6,3,user_creatures,user_4,user_creatures,user_creatures: log_only=['fear of isolation'] engine_only=['twist reality'],4,2,1,0,3,3,0,0,1,0,0,0,2,ok,265
55,1,11,3,user_hand,user_4,user_hand,user_hand: log_only=['plains'] engine_only=[],8,3,0,0,3,3,2,0,0,0,2,0,5,ok,611
100,1,8,1,oppo_life,user_2,oppo_life user_hand,oppo_life: log=17 engine=20 ; user_hand: log_only=['overlord of the boilerbilges'] engine_only=['forest'],7,1,1,0,1,1,0,0,0,0,0,0,1,ok,296
101,1,9,4,user_life,oppo_5,user_life user_creatures,user_life: log=16 engine=13 ; user_creatures: log_only=[] engine_only=['demon'],5,3,2,1,4,3,0,0,1,0,0,0,6,ok,424
102,1,11,2,user_hand,oppo_3,user_hand,user_hand: log_only=['island'] engine_only=['daggermaw megalodon'],6,2,1,1,3,2,1,0,1,0,1,0,0,ok,525
103,1,13,1,user_hand,user_2,user_hand,user_hand: log_only=['under the skin'] engine_only=['sporogenic infection'],6,0,0,0,1,0,0,0,1,0,0,0,2,ok,480
105,1,9,1,user_creatures,user_2,user_creatures,user_creatures: log_only=['veteran survivor'] engine_only=[],6,1,1,0,1,1,1,0,0,0,1,0,3,ok,307
110,1,8,2,oppo_life,user_3,oppo_life,oppo_life: log=17 engine=16,4,1,0,0,2,1,0,0,1,0,0,0,1,ok,263
119,1,5,1,user_life,oppo_2,user_life,user_life: log=18 engine=19,1,0,2,0,1,0,0,0,1,0,0,0,1,ok,187
127,1,12,2,user_creatures,oppo_3,user_creatures oppo_hand,user_creatures: log_only=[] engine_only=['paranormal analyst'] ; oppo_hand: log=5 engine=6,8,3,2,0,3,3,1,0,0,0,1,0,1,ok,524
131,1,9,4,user_creatures,oppo_5,user_creatures oppo_hand,user_creatures: log_only=[] engine_only=['scrabbling skullcrab'] ; oppo_hand: log=2 engine=3,6,4,1,1,5,4,0,0,1,0,0,0,8,ok,397
141,1,11,3,user_life,oppo_4,user_life user_creatures,user_life: log=9 engine=12 ; user_creatures: log_only=[] engine_only=['tunnel surveyor'],7,1,1,0,3,1,0,0,2,0,0,0,4,ok,473
153,1,10,2,user_lands,user_3,user_lands,user_lands: log_only=['mountain'] engine_only=['swamp'],5,0,2,0,2,0,0,0,2,0,0,0,0,ok,543
167,1,11,2,user_creatures,user_3,user_creatures user_hand,user_creatures: log_only=['paranormal analyst'] engine_only=[] ; user_hand: log_only=[] engine_only=['slavering branchsnapper'],10,2,1,0,2,2,0,1,0,0,0,1,4,ok,514
174,1,11,3,user_life,oppo_4,user_life oppo_life user_creatures oppo_hand,user_life: log=12 engine=13 ; oppo_life: log=25 engine=20 ; user_creatures: log_only=[] engine_only=['glimmer seeker'] ; oppo_hand: log=2 engine=3,7,1,2,0,3,1,0,0,2,0,0,0,5,ok,342
