game,covered,turns_logged,turns_matched,first_mismatch_field,first_mismatch_side_turn,mismatch_fields,mismatch_detail,ambiguous_order_turns,ambiguous_order_turns_matched,targeted_spells,targeted_spells_matched,labels_land,labels_spell,labels_attack,labels_block,unamb_land,unamb_spell,unamb_attack,unamb_block,forced_fails_before_mismatch,engine_status,ms
10,1,7,1,user_hand,user_2,user_hand,user_hand: log_only=['fear of burning alive'] engine_only=['mountain'],6,1,0,0,1,1,0,0,0,0,0,0,10,ok,2296
19,1,11,6,user_life,oppo_7,user_life,user_life: log=16 engine=20,8,4,2,1,6,4,2,0,2,0,2,0,26,ok,1752
36,1,9,3,user_creatures,user_4,user_creatures,user_creatures: log_only=['manifest dread'] engine_only=[],5,2,5,1,3,2,0,0,1,0,0,0,13,ok,660
39,1,7,3,user_life,oppo_4,user_life,user_life: log=16 engine=19,4,3,0,0,4,3,1,0,1,0,1,0,17,ok,644
42,1,6,4,user_creatures,oppo_5,user_creatures,user_creatures: log_only=[] engine_only=['unsettling twins'],4,3,1,0,4,4,1,0,1,0,1,0,18,ok,474
55,1,11,3,user_hand,user_4,user_hand,user_hand: log_only=['plains'] engine_only=[],8,3,0,0,3,3,2,0,0,0,2,0,19,ok,999
100,1,8,1,oppo_life,user_2,oppo_life user_hand,oppo_life: log=17 engine=20 ; user_hand: log_only=['overlord of the boilerbilges'] engine_only=['forest'],7,1,1,0,1,1,0,0,0,0,0,0,8,ok,551
101,1,9,4,user_life,oppo_5,user_life user_creatures,user_life: log=16 engine=13 ; user_creatures: log_only=[] engine_only=['demon'],5,3,2,1,4,3,0,0,1,0,0,0,22,ok,708
102,1,11,2,user_hand,oppo_3,user_hand,user_hand: log_only=['island'] engine_only=['daggermaw megalodon'],6,2,1,1,3,2,1,0,1,0,1,0,10,ok,925
103,1,13,1,user_hand,user_2,user_hand,user_hand: log_only=['under the skin'] engine_only=['sporogenic infection'],6,0,0,0,1,0,0,0,1,0,0,0,9,ok,874
105,1,9,1,user_creatures,user_2,user_creatures,user_creatures: log_only=['veteran survivor'] engine_only=[],6,1,1,0,1,1,1,0,0,0,1,0,10,ok,520
110,1,8,3,oppo_life,user_4,oppo_life user_creatures user_noncreatures,oppo_life: log=14 engine=16 ; user_creatures: log_only=['piggy bank'] engine_only=['glimmer'] ; user_noncreatures: log_only=[] engine_only=['treasure'],4,2,0,0,3,2,1,0,1,0,1,0,15,ok,466
119,1,5,1,user_life,oppo_2,user_life,user_life: log=18 engine=19,1,0,2,0,1,0,0,0,1,0,0,0,6,ok,321
127,1,12,3,user_creatures,user_4,user_creatures,user_creatures: log_only=['moldering gym'] engine_only=[],8,3,2,0,3,3,1,0,0,0,1,0,13,ok,1017
131,1,9,4,user_creatures,oppo_5,user_creatures oppo_hand,user_creatures: log_only=[] engine_only=['scrabbling skullcrab'] ; oppo_hand: log=2 engine=3,6,4,1,1,5,4,0,0,1,0,0,0,25,ok,635
141,1,11,3,user_life,oppo_4,user_life user_creatures,user_life: log=9 engine=12 ; user_creatures: log_only=[] engine_only=['tunnel surveyor'],7,1,2,0,3,1,0,0,2,0,0,0,15,ok,1218
153,1,10,3,user_creatures,user_4,user_creatures,user_creatures: log_only=['spineseeker centipede'] engine_only=['resurrected cultist'],5,1,2,0,3,1,0,0,2,0,0,0,13,ok,723
167,1,11,4,user_creatures,oppo_5,user_creatures,user_creatures: log_only=[] engine_only=['fear of exposure'],10,4,2,1,4,5,1,1,0,0,1,1,20,ok,956
174,1,11,3,user_life,oppo_4,user_life oppo_life user_creatures,user_life: log=12 engine=13 ; oppo_life: log=25 engine=20 ; user_creatures: log_only=[] engine_only=['glimmer seeker'],7,1,2,0,3,1,0,0,2,0,0,0,17,ok,521
190,1,12,2,oppo_hand,oppo_3,oppo_hand,oppo_hand: log=3 engine=4,8,2,1,0,3,2,0,0,1,0,0,0,13,ok,596
192,1,8,3,user_hand,oppo_4,user_hand,"user_hand: log_only=['swamp'] engine_only=[""shardmage's rescue"", 'spectral snatcher']",4,1,1,1,4,1,0,0,3,0,0,0,14,ok,383
225,1,7,2,oppo_life,user_3,oppo_life user_creatures user_hand,"oppo_life: log=17 engine=18 ; user_creatures: log_only=['kaito, bane of nightmares'] engine_only=['friendly teddy'] ; user_hand: log_only=['friendly teddy', 'withering torment'] engine_only=['kaito, bane of nightmares']",5,1,0,0,2,1,0,0,1,0,0,0,11,ok,505
226,1,9,5,oppo_life,user_6,oppo_life,oppo_life: log=16 engine=17,6,4,1,1,4,6,0,0,0,0,0,0,31,ok,842
239,1,7,3,user_creatures,oppo_4,user_creatures,user_creatures: log_only=[] engine_only=['glimmer'],4,2,1,0,3,2,1,0,1,0,1,0,19,ok,537
252,1,11,1,user_creatures,user_2,user_creatures user_hand,user_creatures: log_only=['fear of surveillance'] engine_only=[] ; user_hand: log_only=[] engine_only=['fear of surveillance'],8,0,4,0,1,0,0,0,1,0,0,0,4,ok,1012
265,1,10,2,user_hand,user_3,user_hand,user_hand: log_only=['mountain'] engine_only=['forest'],7,1,1,0,2,1,0,0,1,0,0,0,10,ok,804
281,1,6,1,user_hand,user_2,user_hand,user_hand: log_only=['violent urge'] engine_only=['enduring vitality'],6,1,0,0,1,1,0,0,0,0,0,0,9,ok,498
283,1,8,3,user_creatures,oppo_4,user_creatures user_noncreatures user_hand oppo_hand,"user_creatures: log_only=['terramorphic expanse'] engine_only=[] ; user_noncreatures: log_only=[""shardmage's rescue""] engine_only=[] ; user_hand: log_only=[] engine_only=[""shardmage's rescue""] ; oppo_hand: log=2 engine=3",3,1,1,1,3,2,0,0,2,0,0,0,15,ok,428
286,1,11,4,user_hand,user_5,user_hand,user_hand: log_only=['moldering gym'] engine_only=['enter the enigma'],7,3,2,1,4,3,0,0,1,0,0,0,16,ok,645
290,1,7,4,oppo_life,user_5,oppo_life,oppo_life: log=13 engine=12,5,3,0,0,4,3,2,0,1,0,2,0,20,ok,677
308,1,12,1,user_hand,user_2,user_hand,user_hand: log_only=['meat locker'] engine_only=['trapped in the screen'],6,0,2,0,1,0,0,0,1,0,0,0,7,ok,1000
309,1,7,2,oppo_life,user_3,oppo_life,oppo_life: log=18 engine=16,6,2,1,0,2,2,0,0,0,0,0,0,14,ok,418
330,1,8,2,oppo_life,user_3,oppo_life user_creatures user_hand,"oppo_life: log=18 engine=20 ; user_creatures: log_only=['oblivious bookworm'] engine_only=[] ; user_hand: log_only=[] engine_only=[""don't make a sound""]",4,1,2,0,2,1,0,0,1,0,0,0,11,ok,441
334,1,8,3,user_creatures,oppo_4,user_creatures user_noncreatures,user_creatures: log_only=[] engine_only=['piggy bank'] ; user_noncreatures: log_only=['treasure'] engine_only=[],6,3,1,0,3,3,4,0,0,0,4,0,17,ok,631
349,1,9,1,user_creatures,user_2,user_creatures oppo_hand,user_creatures: log_only=[] engine_only=['piranha fly'] ; oppo_hand: log=5 engine=6,7,0,0,0,1,0,0,0,1,0,0,0,6,ok,774
357,1,12,3,oppo_hand,oppo_4,oppo_hand,oppo_hand: log=3 engine=4,5,3,2,1,4,3,2,0,1,0,2,0,19,ok,673
375,1,3,2,oppo_hand,oppo_3,oppo_hand,oppo_hand: log=3 engine=2,1,1,0,0,2,1,0,0,1,0,0,0,11,ok,145
394,1,10,2,oppo_life,user_3,oppo_life user_creatures,oppo_life: log=20 engine=18 ; user_creatures: log_only=[] engine_only=['reluctant role model'],6,1,1,0,2,1,0,0,1,0,0,0,9,ok,753
400,1,8,4,oppo_life,user_5,oppo_life,oppo_life: log=18 engine=19,7,3,1,0,4,3,2,0,1,0,2,0,23,ok,629
402,1,14,4,user_life,oppo_5,user_life,user_life: log=17 engine=18,6,2,3,0,4,4,2,0,2,1,2,0,21,ok,1121
406,1,8,2,oppo_life,user_3,oppo_life,oppo_life: log=16 engine=17,4,1,0,0,2,1,0,0,1,0,0,0,9,ok,501
430,1,9,5,user_hand,user_6,user_hand,user_hand: log_only=['forest'] engine_only=['enduring curiosity'],8,4,0,0,5,4,3,0,1,0,3,0,26,ok,728
434,1,7,3,user_creatures,oppo_4,user_creatures,user_creatures: log_only=['forest'] engine_only=['plains'],4,2,1,0,4,2,1,0,2,0,1,0,17,ok,403
437,1,7,1,user_hand,user_2,user_hand,user_hand: log_only=['wickerfolk thresher'] engine_only=['miasma demon'],5,0,1,0,1,0,0,0,1,0,0,0,4,ok,389
460,1,7,2,user_lands,user_3,user_lands user_hand,user_lands: log_only=['forest'] engine_only=[] ; user_hand: log_only=[] engine_only=['slavering branchsnapper'],4,1,1,0,2,1,0,0,1,0,0,0,10,ok,362
489,1,12,2,user_life,oppo_3,user_life,user_life: log=18 engine=19,5,1,2,0,2,1,0,0,1,0,0,0,10,ok,1075
495,1,8,3,oppo_life,user_4,oppo_life user_creatures user_hand,"oppo_life: log=20 engine=22 ; user_creatures: log_only=['gremlin', 'razorkin hordecaller'] engine_only=[] ; user_hand: log_only=[] engine_only=['razorkin hordecaller']",5,2,1,0,3,2,0,0,1,0,0,0,16,ok,422
509,1,9,2,user_hand,oppo_3,user_hand,user_hand: log_only=['mountain'] engine_only=['bedhead beastie'],4,0,1,0,2,0,0,0,2,0,0,0,8,ok,626
512,1,15,1,user_hand,oppo_2,user_hand,user_hand: log_only=['forest'] engine_only=['slavering branchsnapper'],6,0,1,0,2,0,0,0,2,0,0,0,4,ok,452
513,1,9,2,user_life,oppo_3,user_life,user_life: log=17 engine=18,8,2,0,0,2,2,1,0,0,0,1,0,11,ok,307
514,1,9,4,user_noncreatures,user_5,user_noncreatures,user_noncreatures: log_only=['glassworks'] engine_only=['nowhere to run'],8,4,0,0,4,4,3,0,0,0,3,0,26,ok,649
516,1,10,3,user_life,oppo_4,user_life oppo_hand,user_life: log=17 engine=20 ; oppo_hand: log=3 engine=2,5,2,1,1,3,2,0,0,1,0,0,0,14,ok,687
528,1,10,3,oppo_life,user_4,oppo_life,oppo_life: log=16 engine=15,4,1,1,0,2,2,1,0,1,1,1,0,12,ok,588
543,1,9,2,oppo_life,user_3,oppo_life,oppo_life: log=17 engine=18,4,1,0,0,2,1,0,0,1,0,0,0,10,ok,707
547,1,9,6,user_life,oppo_7,user_life oppo_hand,user_life: log=19 engine=22 ; oppo_hand: log=3 engine=0,4,2,2,0,4,4,3,3,2,2,3,3,30,ok,613
558,1,11,3,user_creatures,user_4,user_creatures,user_creatures: log_only=['spineseeker centipede'] engine_only=[],6,2,5,0,3,2,1,0,1,0,1,0,17,ok,660
564,1,8,3,user_creatures,oppo_4,user_creatures,user_creatures: log_only=['fear of surveillance'] engine_only=['living phone'],4,2,1,0,3,2,1,0,1,0,1,0,12,ok,751
569,1,9,2,user_hand,oppo_3,user_hand,"user_hand: log_only=[""duskmourn's domination""] engine_only=['vanish from sight']",5,2,0,0,3,2,1,0,1,0,1,0,13,ok,632
593,1,7,3,user_creatures,user_4,user_creatures user_hand,"user_creatures: log_only=['orphans of the wheat'] engine_only=[] ; user_hand: log_only=['arabella, abandoned doll'] engine_only=['orphans of the wheat']",4,2,1,0,3,2,0,0,1,0,0,0,15,ok,417
604,1,9,2,user_life,oppo_3,user_life,user_life: log=17 engine=20,5,2,1,0,3,2,0,0,1,0,0,0,16,ok,568
621,1,10,3,user_hand,user_4,user_hand,"user_hand: log_only=['forest'] engine_only=['altanak, the thrice-called']",4,1,0,0,3,1,0,0,2,0,0,0,16,ok,805
624,1,7,2,user_creatures,user_3,user_creatures user_noncreatures user_hand,"user_creatures: log_only=['popular egotist', 'swamp'] engine_only=[] ; user_noncreatures: log_only=[] engine_only=['disturbing mirth'] ; user_hand: log_only=['mountain', 'popular egotist'] engine_only=['clockwork percussionist', 'spectral snatcher']",5,1,2,0,2,1,0,0,1,0,0,0,10,ok,494
629,1,9,4,user_hand,oppo_5,user_hand,user_hand: log_only=['fear of immobility'] engine_only=['island'],5,3,0,0,4,3,1,1,1,0,1,1,19,ok,610
633,1,10,5,user_hand,user_6,user_hand oppo_hand,user_hand: log_only=['fear of burning alive'] engine_only=['hand that feeds'] ; oppo_hand: log=3 engine=4,7,4,1,1,5,5,1,0,1,0,1,0,35,ok,1346
634,1,9,2,user_hand,user_3,user_hand,user_hand: log_only=['mountain'] engine_only=['bashful beastie'],4,1,3,0,2,1,0,0,1,0,0,0,7,ok,468
638,1,7,4,user_creatures,user_5,user_creatures,user_creatures: log_only=['spirit'] engine_only=[],4,2,2,0,4,2,1,0,2,0,1,0,19,ok,355
646,1,8,3,user_creatures,user_4,user_creatures,user_creatures: log_only=['murky sewer'] engine_only=[],4,3,0,0,3,3,0,0,0,0,0,0,14,ok,388
647,1,11,3,user_creatures,user_4,user_creatures,user_creatures: log_only=['plains'] engine_only=['savior of the small'],6,2,3,1,3,2,0,1,1,0,0,1,17,ok,726
650,1,8,2,user_hand,user_3,user_hand,user_hand: log_only=['turn inside out'] engine_only=['bashful beastie'],4,1,1,0,2,1,0,0,1,0,0,0,9,ok,363
653,1,8,4,oppo_life,user_5,oppo_life,oppo_life: log=16 engine=17,5,3,0,0,4,3,1,0,1,0,1,0,18,ok,467
677,1,7,3,oppo_life,user_4,oppo_life user_lands user_hand,oppo_life: log=20 engine=19 ; user_lands: log_only=['forest'] engine_only=[] ; user_hand: log_only=[] engine_only=['omnivorous flytrap'],3,1,2,0,3,1,0,0,2,0,0,0,11,ok,370
