game,covered,turns_logged,turns_matched,first_mismatch_field,first_mismatch_side_turn,mismatch_fields,mismatch_detail,ambiguous_order_turns,ambiguous_order_turns_matched,targeted_spells,targeted_spells_matched,labels_land,labels_spell,labels_attack,labels_block,unamb_land,unamb_spell,unamb_attack,unamb_block,forced_fails_before_mismatch,engine_status,ms
10,1,7,1,user_hand,user_2,user_hand,user_hand: log_only=['fear of burning alive'] engine_only=['mountain'],6,1,0,0,1,1,0,0,0,0,0,0,0,ok,1665
19,1,11,6,user_noncreatures,user_7,user_noncreatures,user_noncreatures: log_only=['unable to scream'] engine_only=[],8,4,2,1,6,4,2,0,2,0,2,0,0,ok,977
36,1,9,3,user_creatures,user_4,user_creatures,user_creatures: log_only=['manifest dread'] engine_only=[],5,2,5,1,3,2,0,0,1,0,0,0,0,ok,435
39,1,7,3,user_life,oppo_4,user_life,user_life: log=16 engine=19,4,3,0,0,4,3,1,0,1,0,1,0,0,ok,375
42,1,6,4,user_creatures,oppo_5,user_creatures,user_creatures: log_only=[] engine_only=['unsettling twins'],4,3,1,0,4,4,1,0,1,0,1,0,1,ok,252
55,1,11,3,user_hand,user_4,user_hand,user_hand: log_only=['plains'] engine_only=[],8,3,0,0,3,3,2,0,0,0,2,0,0,ok,523
100,1,8,1,oppo_life,user_2,oppo_life user_hand,oppo_life: log=17 engine=20 ; user_hand: log_only=['overlord of the boilerbilges'] engine_only=['forest'],7,1,1,0,1,1,0,0,0,0,0,0,0,ok,250
101,1,9,4,user_life,oppo_5,user_life user_creatures,user_life: log=16 engine=13 ; user_creatures: log_only=[] engine_only=['demon'],5,3,2,1,4,3,0,0,1,0,0,0,1,ok,357
102,1,11,2,user_hand,oppo_3,user_hand,user_hand: log_only=['island'] engine_only=['daggermaw megalodon'],6,2,1,1,3,2,1,0,1,0,1,0,0,ok,479
103,1,13,1,user_hand,user_2,user_hand,user_hand: log_only=['under the skin'] engine_only=['sporogenic infection'],6,0,0,0,1,0,0,0,1,0,0,0,0,ok,280
105,1,9,1,user_creatures,user_2,user_creatures,user_creatures: log_only=['veteran survivor'] engine_only=[],6,1,1,0,1,1,1,0,0,0,1,0,1,ok,224
110,1,8,3,oppo_life,user_4,oppo_life user_creatures user_noncreatures,oppo_life: log=14 engine=16 ; user_creatures: log_only=['piggy bank'] engine_only=['glimmer'] ; user_noncreatures: log_only=[] engine_only=['treasure'],4,2,0,0,3,2,1,0,1,0,1,0,0,ok,227
119,1,5,1,user_life,oppo_2,user_life,user_life: log=18 engine=19,1,0,2,0,1,0,0,0,1,0,0,0,0,ok,141
127,1,12,3,user_creatures,user_4,user_creatures,user_creatures: log_only=['moldering gym'] engine_only=[],8,3,2,0,3,3,1,0,0,0,1,0,0,ok,528
131,1,9,4,user_creatures,oppo_5,user_creatures oppo_hand,user_creatures: log_only=[] engine_only=['scrabbling skullcrab'] ; oppo_hand: log=2 engine=3,6,4,1,1,5,4,0,0,1,0,0,0,2,ok,338
141,1,11,3,user_life,oppo_4,user_life user_creatures,user_life: log=9 engine=12 ; user_creatures: log_only=[] engine_only=['tunnel surveyor'],7,1,2,0,3,1,0,0,2,0,0,0,0,ok,726
153,1,10,3,user_life,oppo_4,user_life oppo_life,user_life: log=16 engine=15 ; oppo_life: log=23 engine=22,5,2,1,0,4,3,0,0,2,0,0,0,0,ok,358
167,1,11,4,user_creatures,oppo_5,user_creatures,user_creatures: log_only=[] engine_only=['fear of exposure'],10,4,1,1,4,5,1,1,0,0,1,1,0,ok,533
174,1,11,3,user_creatures,user_4,user_creatures user_noncreatures user_hand,user_creatures: log_only=['glimmer seeker'] engine_only=[] ; user_noncreatures: log_only=[] engine_only=['sporogenic infection'] ; user_hand: log_only=[] engine_only=['final vengeance'],7,1,1,0,3,1,0,0,2,0,0,0,2,ok,326
190,1,12,2,oppo_hand,oppo_3,oppo_hand,oppo_hand: log=3 engine=4,8,2,2,0,3,2,0,0,1,0,0,0,1,ok,331
