game,turn,side,evaluated,clean_start,matched,fields
10,1,oppo_1,1,1,1,
10,2,user_1,1,1,1,
10,3,oppo_2,1,1,1,
10,4,user_2,1,1,0,user_hand
10,5,oppo_3,1,1,1,
10,6,user_3,1,1,0,user_lands user_hand
10,7,oppo_4,1,1,0,oppo_hand
10,8,user_4,1,1,0,oppo_life user_creatures user_hand
10,9,oppo_5,1,1,0,oppo_hand
10,10,user_5,1,1,0,oppo_life user_creatures user_hand
10,11,oppo_6,1,1,1,
10,12,user_6,1,1,1,
10,13,oppo_7,1,1,1,
10,14,user_7,1,0,0,oppo_hand
19,1,oppo_1,1,1,1,
19,2,user_1,1,1,1,
19,3,oppo_2,1,1,1,
19,4,user_2,1,1,1,
19,5,oppo_3,1,1,1,
19,6,user_3,1,1,1,
19,7,oppo_4,1,1,1,
19,8,user_4,1,1,1,
19,9,oppo_5,1,1,1,
19,10,user_5,1,1,1,
19,11,oppo_6,1,1,1,
19,12,user_6,1,1,1,
19,13,oppo_7,1,1,1,
19,14,user_7,1,1,0,user_noncreatures
19,15,oppo_8,1,1,0,oppo_hand
19,16,user_8,1,1,0,oppo_life user_creatures user_noncreatures user_hand oppo_hand
19,17,oppo_9,1,1,0,user_creatures user_noncreatures
19,18,user_9,1,1,0,oppo_life user_lands user_creatures user_noncreatures user_hand
19,19,oppo_10,1,1,0,user_creatures user_noncreatures oppo_hand
19,20,user_10,1,1,0,oppo_life user_creatures user_noncreatures user_hand oppo_hand
19,21,oppo_11,1,1,0,user_creatures user_noncreatures
36,1,oppo_1,1,1,1,
36,2,user_1,1,1,1,
36,3,oppo_2,1,1,1,
36,4,user_2,1,1,1,
36,5,oppo_3,1,1,1,
36,6,user_3,1,1,1,
36,7,oppo_4,1,1,1,
36,8,user_4,1,1,0,user_creatures
36,9,oppo_5,1,1,0,user_creatures user_noncreatures
36,10,user_5,1,1,0,user_creatures user_noncreatures
36,11,oppo_6,1,1,0,user_creatures user_noncreatures
36,12,user_6,1,1,0,user_creatures user_noncreatures
36,13,oppo_7,1,0,0,user_life oppo_life user_creatures user_noncreatures
36,14,user_7,1,0,0,oppo_life user_creatures user_noncreatures
36,15,oppo_8,1,0,0,user_creatures user_noncreatures
36,16,user_8,1,0,0,oppo_life user_creatures user_hand
36,17,oppo_9,1,1,0,user_creatures user_noncreatures oppo_hand
36,18,user_9,1,1,0,user_creatures user_noncreatures user_hand
39,1,user_1,1,1,1,
39,2,oppo_1,1,1,1,
39,3,user_2,1,1,1,
39,4,oppo_2,1,1,1,
39,5,user_3,1,1,1,
39,6,oppo_3,1,1,1,
39,7,user_4,1,1,1,
39,8,oppo_4,1,1,0,user_life
39,9,user_5,1,1,0,user_lands
39,10,oppo_5,1,1,1,
39,11,user_6,1,1,0,user_lands
39,12,oppo_6,1,1,0,user_life user_creatures
39,13,user_7,1,1,1,
39,14,oppo_7,1,1,0,user_life user_hand
42,1,oppo_1,1,1,1,
42,2,user_1,1,1,1,
42,3,oppo_2,1,1,1,
42,4,user_2,1,1,1,
42,5,oppo_3,1,1,1,
42,6,user_3,1,1,1,
42,7,oppo_4,1,1,1,
42,8,user_4,1,1,1,
42,9,oppo_5,1,1,1,
42,10,user_5,1,1,0,oppo_life user_creatures
42,11,oppo_6,1,1,1,
42,12,user_6,1,1,0,user_creatures
55,1,oppo_1,1,1,1,
55,2,user_1,1,1,1,
55,3,oppo_2,1,1,1,
55,4,user_2,1,1,1,
55,5,oppo_3,1,1,1,
55,6,user_3,1,1,1,
55,7,oppo_4,1,1,1,
55,8,user_4,1,1,0,user_hand
55,9,oppo_5,1,1,0,oppo_hand
55,10,user_5,1,1,0,user_hand
55,11,oppo_6,1,1,0,oppo_hand
55,12,user_6,1,1,1,
55,13,oppo_7,1,1,0,oppo_hand
55,14,user_7,1,1,1,
55,15,oppo_8,1,1,0,user_noncreatures oppo_hand
55,16,user_8,1,1,0,oppo_life
55,17,oppo_9,1,1,1,
55,18,user_9,1,1,0,oppo_life
55,19,oppo_10,1,1,1,
55,20,user_10,1,1,0,oppo_life user_creatures user_noncreatures
55,21,oppo_11,1,1,0,user_hand
55,22,user_11,1,1,1,
100,1,oppo_1,1,1,1,
100,2,user_1,1,1,1,
100,3,oppo_2,1,1,1,
100,4,user_2,1,1,0,oppo_life user_hand
100,5,oppo_3,1,1,1,
100,6,user_3,1,1,0,oppo_life user_hand
100,7,oppo_4,1,1,1,
100,8,user_4,1,1,0,user_hand
100,9,oppo_5,1,1,0,oppo_hand
100,10,user_5,1,1,0,user_lands user_noncreatures user_hand
100,11,oppo_6,1,1,0,user_creatures user_noncreatures
100,12,user_6,1,1,0,oppo_life user_creatures user_noncreatures user_hand
100,13,oppo_7,1,1,0,user_creatures user_noncreatures
100,14,user_7,1,1,0,oppo_life user_lands user_creatures user_noncreatures user_hand
100,15,oppo_8,1,1,0,user_creatures user_noncreatures
101,1,oppo_1,1,1,1,
101,2,user_1,1,1,1,
101,3,oppo_2,1,1,1,
101,4,user_2,1,1,1,
101,5,oppo_3,1,1,1,
101,6,user_3,1,1,1,
101,7,oppo_4,1,1,1,
101,8,user_4,1,1,1,
101,9,oppo_5,1,1,0,user_life user_creatures
101,10,user_5,1,0,0,user_creatures
101,11,oppo_6,1,0,0,user_life
101,12,user_6,1,0,1,
101,13,oppo_7,1,0,0,user_life
101,14,user_7,1,1,0,user_lands user_noncreatures user_hand
101,15,oppo_8,1,1,1,
101,16,user_8,1,1,1,
101,17,oppo_9,1,1,1,
102,1,user_1,1,1,1,
102,2,oppo_1,1,1,1,
102,3,user_2,1,1,1,
102,4,oppo_2,1,1,1,
102,5,user_3,1,1,1,
102,6,oppo_3,1,1,0,user_hand
102,7,user_4,1,1,1,
102,8,oppo_4,1,1,1,
102,9,user_5,1,1,0,oppo_life user_creatures
102,10,oppo_5,1,1,0,user_creatures oppo_hand
102,11,user_6,1,1,1,
102,12,oppo_6,1,1,1,
102,13,user_7,1,1,0,user_creatures
102,14,oppo_7,1,1,1,
102,15,user_8,1,1,0,user_creatures
102,16,oppo_8,1,1,1,
102,17,user_9,1,1,0,user_life oppo_life
102,18,oppo_9,1,1,1,
102,19,user_10,1,1,1,
102,20,oppo_10,1,1,0,user_life oppo_life oppo_hand
102,21,user_11,1,1,0,user_hand
103,1,oppo_1,1,1,1,
103,2,user_1,1,1,1,
103,3,oppo_2,1,1,1,
