game,turn,side,evaluated,clean_start,matched,fields
0,1,user_1,1,1,1,
0,2,oppo_1,1,1,1,
0,3,user_2,1,1,1,
0,4,oppo_2,1,1,1,
0,5,user_3,1,1,1,
0,6,oppo_3,1,1,1,
0,7,user_4,1,1,0,oppo_life user_creatures
0,8,oppo_4,1,1,1,
0,9,user_5,1,1,0,oppo_life user_creatures
0,10,oppo_5,1,1,1,
0,11,user_6,1,1,0,oppo_hand
1,1,oppo_1,1,1,1,
1,2,user_1,1,1,1,
1,3,oppo_2,1,1,1,
1,4,user_2,1,1,1,
1,5,oppo_3,1,1,0,user_life
1,6,user_3,1,1,1,
1,7,oppo_4,1,1,1,
1,8,user_4,1,1,1,
1,9,oppo_5,1,1,1,
1,10,user_5,1,1,0,user_creatures
1,11,oppo_6,1,1,0,user_creatures
2,1,user_1,1,1,1,
2,2,oppo_1,1,1,1,
2,3,user_2,1,1,1,
2,4,oppo_2,1,1,1,
2,5,user_3,1,1,1,
2,6,oppo_3,1,1,1,
2,7,user_4,1,1,1,
2,8,oppo_4,1,1,1,
2,9,user_5,1,1,0,oppo_life user_lands user_creatures user_noncreatures user_hand
2,10,oppo_5,1,1,0,user_lands user_creatures user_noncreatures user_hand
2,11,user_6,1,1,0,user_creatures user_noncreatures user_hand
2,12,oppo_6,1,1,0,user_creatures user_noncreatures oppo_hand
2,13,user_7,1,1,0,oppo_life user_creatures user_noncreatures user_hand
2,14,oppo_7,1,1,0,user_creatures user_noncreatures
2,15,user_8,1,1,0,oppo_life user_lands user_creatures user_noncreatures user_hand
2,16,oppo_8,1,1,0,user_creatures user_noncreatures oppo_hand
2,17,user_9,1,1,0,user_hand
3,1,oppo_1,1,1,1,
3,2,user_1,1,1,1,
3,3,oppo_2,1,1,0,oppo_hand
3,4,user_2,1,1,1,
3,5,oppo_3,1,1,1,
3,6,user_3,1,1,1,
3,7,oppo_4,1,1,1,
3,8,user_4,1,1,0,user_hand
3,9,oppo_5,1,1,1,
3,10,user_5,1,1,0,user_lands user_creatures user_hand
3,11,oppo_6,1,1,0,user_creatures oppo_hand
3,12,user_6,1,1,0,user_creatures user_hand
3,13,oppo_7,1,1,1,
3,14,user_7,1,1,0,oppo_life user_noncreatures
3,15,oppo_8,1,1,1,
3,16,user_8,1,1,0,oppo_life oppo_hand
3,17,oppo_9,1,1,1,
4,1,oppo_1,1,1,1,
4,2,user_1,1,1,1,
4,3,oppo_2,1,1,1,
4,4,user_2,1,1,1,
4,5,oppo_3,1,1,0,oppo_hand
4,6,user_3,1,1,1,
4,7,oppo_4,1,1,1,
4,8,user_4,1,1,1,
4,9,oppo_5,1,1,1,
4,10,user_5,1,1,0,user_creatures
4,11,oppo_6,1,1,1,
4,12,user_6,1,1,1,
4,13,oppo_7,1,1,0,user_life
4,14,user_7,1,1,1,
4,15,oppo_8,1,1,1,
4,16,user_8,1,1,0,user_life oppo_life oppo_hand
5,1,oppo_1,1,1,1,
5,2,user_1,1,1,1,
5,3,oppo_2,1,1,1,
5,4,user_2,1,1,0,oppo_hand
5,5,oppo_3,1,1,1,
5,6,user_3,1,1,1,
5,7,oppo_4,1,1,1,
5,8,user_4,1,1,1,
5,9,oppo_5,1,1,0,user_creatures user_noncreatures
5,10,user_5,1,1,0,user_hand
5,11,oppo_6,1,1,1,
5,12,user_6,1,1,0,user_creatures
5,13,oppo_7,1,1,0,user_creatures oppo_hand
5,14,user_7,1,1,0,user_creatures user_noncreatures user_hand
5,15,oppo_8,1,1,0,user_life user_noncreatures oppo_hand
5,16,user_8,1,1,0,oppo_life
5,17,oppo_9,1,1,0,user_life oppo_hand
5,18,user_9,1,1,1,
6,1,oppo_1,1,1,1,
6,2,user_1,1,1,1,
6,3,oppo_2,1,1,1,
6,4,user_2,1,1,1,
6,5,oppo_3,1,1,1,
6,6,user_3,1,1,0,user_hand
6,7,oppo_4,1,1,1,
6,8,user_4,1,1,0,user_creatures user_hand
6,9,oppo_5,1,1,0,user_creatures user_noncreatures
6,10,user_5,1,1,0,user_creatures user_noncreatures user_hand
