TASKC|arm=e2|seed=1|trained=512|eval=pool_512|deck=BenchBurn.dck,BenchControl.dck,BenchMidrange.dck,BenchDimir.dck|win_rate=0.3200|stalls=3
TASKC|arm=e2|seed=1|trained=1024|eval=pool_1024|deck=BenchBurn.dck,BenchControl.dck,BenchMidrange.dck,BenchDimir.dck|win_rate=0.4500|stalls=7
TASKC|arm=e2|seed=1|trained=1344|eval=indist_burn|deck=BenchBurn.dck|win_rate=0.7600|stalls=0
TASKC|arm=e2|seed=1|trained=1344|eval=indist_midrange|deck=BenchMidrange.dck|win_rate=0.3600|stalls=0
TASKC|arm=e2|seed=1|trained=1344|eval=indist_dimir|deck=BenchDimir.dck|win_rate=0.6900|stalls=0
TASKC|arm=e2|seed=1|trained=1344|eval=indist_control|deck=BenchControl.dck|win_rate=0.0600|stalls=19
TASKC|arm=e2|seed=1|trained=1344|eval=zs_burn_a|deck=HoldoutBurn.dck|win_rate=0.5400|stalls=0
TASKC|arm=e2|seed=1|trained=1344|eval=zs_burn_b|deck=HoldoutBurn.dck|win_rate=0.6200|stalls=0
TASKC|arm=e2|seed=1|trained=1344|eval=zs_midrange_a|deck=HoldoutMidrange.dck|win_rate=0.4400|stalls=0
TASKC|arm=e2|seed=1|trained=1344|eval=zs_midrange_b|deck=HoldoutMidrange.dck|win_rate=0.4400|stalls=0
TASKC|arm=e2|seed=1|trained=1344|eval=zs_control_a|deck=HoldoutControl.dck|win_rate=0.2900|stalls=10
TASKC|arm=e2|seed=1|trained=1344|eval=zs_control_b|deck=HoldoutControl.dck|win_rate=0.2000|stalls=12
